From;To;Source
cs+class://Microsoft/CodeAnalysis/DiagnosticInfo/DiagnosticInfoWithOverridenSeverity;cs+class://Microsoft/CodeAnalysis/DiagnosticInfo;(not implemented)
cs+class://Microsoft/CodeAnalysis/DocumentationCommentIncludeCache;cs+class://Microsoft/CodeAnalysis/CachingFactory[2];(not implemented)
cs+class://Microsoft/CodeAnalysis/Emit/DeltaPeWriter;cs+class://Microsoft/Cci/PeWriter;(not implemented)
cs+class://Microsoft/CodeAnalysis/Emit/DeltaPeWriter/DefinitionIndex[1];cs+class://Microsoft/CodeAnalysis/Emit/DeltaPeWriter/DefinitionIndexBase[1];(not implemented)
cs+class://Microsoft/CodeAnalysis/Emit/DeltaPeWriter/ParameterDefinitionIndex;cs+class://Microsoft/CodeAnalysis/Emit/DeltaPeWriter/DefinitionIndexBase[1];(not implemented)
cs+class://Microsoft/CodeAnalysis/Emit/DeltaPeWriter/GenericParameterIndex;cs+class://Microsoft/CodeAnalysis/Emit/DeltaPeWriter/DefinitionIndexBase[1];(not implemented)
cs+class://Microsoft/CodeAnalysis/Emit/DeltaPeWriter/EventOrPropertyMapIndex;cs+class://Microsoft/CodeAnalysis/Emit/DeltaPeWriter/DefinitionIndexBase[1];(not implemented)
cs+class://Microsoft/CodeAnalysis/Emit/DeltaPeWriter/MethodImplIndex;cs+class://Microsoft/CodeAnalysis/Emit/DeltaPeWriter/DefinitionIndexBase[1];(not implemented)
cs+class://Microsoft/CodeAnalysis/Emit/DeltaPeWriter/DeltaReferenceIndexer;cs+class://Microsoft/Cci/ReferenceIndexer;(not implemented)
cs+class://Microsoft/CodeAnalysis/Emit/EmitDifferenceResult;cs+class://Microsoft/CodeAnalysis/Emit/EmitResult;(not implemented)
cs+class://Microsoft/CodeAnalysis/Emit/NoPia/EmbeddedTypesManager/CommonEmbeddedEvent;cs+class://Microsoft/CodeAnalysis/Emit/NoPia/EmbeddedTypesManager/CommonEmbeddedMember[22];(not implemented)
cs+class://Microsoft/CodeAnalysis/Emit/NoPia/EmbeddedTypesManager/CommonEmbeddedField;cs+class://Microsoft/CodeAnalysis/Emit/NoPia/EmbeddedTypesManager/CommonEmbeddedMember[22];(not implemented)
cs+class://Microsoft/CodeAnalysis/Emit/NoPia/EmbeddedTypesManager/CommonEmbeddedMethod;cs+class://Microsoft/CodeAnalysis/Emit/NoPia/EmbeddedTypesManager/CommonEmbeddedMember[22];(not implemented)
cs+class://Microsoft/CodeAnalysis/Emit/NoPia/EmbeddedTypesManager/CommonEmbeddedProperty;cs+class://Microsoft/CodeAnalysis/Emit/NoPia/EmbeddedTypesManager/CommonEmbeddedMember[22];(not implemented)
cs+class://Roslyn/Utilities/SHA1CryptoServiceProvider;cs+class://Roslyn/Utilities/HashAlgorithm;(not implemented)
cs+class://Roslyn/Utilities/SHA256CryptoServiceProvider;cs+class://Roslyn/Utilities/HashAlgorithm;(not implemented)
cs+class://Roslyn/Utilities/SHA384CryptoServiceProvider;cs+class://Roslyn/Utilities/HashAlgorithm;(not implemented)
cs+class://Roslyn/Utilities/SHA512CryptoServiceProvider;cs+class://Roslyn/Utilities/HashAlgorithm;(not implemented)
cs+class://Roslyn/Utilities/MD5CryptoServiceProvider;cs+class://Roslyn/Utilities/HashAlgorithm;(not implemented)
cs+class://Roslyn/Utilities/SpecializedCollections/ReadOnly/Collection[2];cs+class://Roslyn/Utilities/SpecializedCollections/ReadOnly/Enumerable[2];(not implemented)
cs+class://Roslyn/Utilities/SpecializedCollections/ReadOnly/Enumerable[2];cs+class://Roslyn/Utilities/SpecializedCollections/ReadOnly/Enumerable[1];(not implemented)
cs+class://Roslyn/Utilities/SpecializedCollections/ReadOnly/Set[2];cs+class://Roslyn/Utilities/SpecializedCollections/ReadOnly/Collection[2];(not implemented)
