fromType;toType;fromMethod;toMethod;calledFrom
cs+class://NHibernate/Test/Cascade/Circle/MultiPathCircleCascadeTest;cs+class://NHibernate/Test/TestCase;Boolean AppliesTo(Dialect);Boolean AppliesTo(Dialect);TestFixtureTearDown
cs+class://NHibernate/Test/Cascade/Circle/MultiPathCircleCascadeTest;cs+class://NHibernate/Test/TestCase;Void OnTearDown();Void OnTearDown();TearDown
cs+class://NHibernate/Test/Cascade/Circle/MultiPathCircleCascadeTest;cs+class://NHibernate/Test/TestCase;Void Configure(Configuration);Void Configure(Configuration);Configure
cs+class://NHibernate/Test/Cascade/MultiPathCascadeTest;cs+class://NHibernate/Test/TestCase;Void OnTearDown();Void OnTearDown();TearDown
cs+class://NHibernate/Test/Classic/LifecycleFixture;cs+class://NHibernate/Test/TestCase;Void Configure(Configuration);Void Configure(Configuration);Configure
cs+class://NHibernate/Test/CollectionTest/IdBagFixture;cs+class://NHibernate/Test/TestCase;Void OnTearDown();Void OnTearDown();TearDown
cs+class://NHibernate/Test/CollectionTest/NullableValueTypeElementMapFixture;cs+class://NHibernate/Test/TestCase;Void OnTearDown();Void OnTearDown();TearDown
cs+class://NHibernate/Test/Component/Basic/ComponentTest;cs+class://NHibernate/Test/TestCase;Void OnTearDown();Void OnTearDown();TearDown
cs+class://NHibernate/Test/Component/Basic/ComponentTest;cs+class://NHibernate/Test/TestCase;Void Configure(Configuration);Void Configure(Configuration);Configure
cs+class://NHibernate/Test/CompositeId/ClassWithCompositeIdFixture;cs+class://NHibernate/Test/TestCase;Boolean AppliesTo(Dialect);Boolean AppliesTo(Dialect);TestFixtureSetUp
cs+class://NHibernate/Test/CompositeId/ClassWithCompositeIdFixture;cs+class://NHibernate/Test/TestCase;Boolean AppliesTo(Dialect);Boolean AppliesTo(Dialect);TestFixtureTearDown
cs+class://NHibernate/Test/CompositeId/ClassWithCompositeIdFixture;cs+class://NHibernate/Test/TestCase;Void OnSetUp();Void OnSetUp();SetUp
cs+class://NHibernate/Test/CompositeId/ClassWithCompositeIdFixture;cs+class://NHibernate/Test/TestCase;Void OnTearDown();Void OnTearDown();TearDown
cs+class://NHibernate/Test/ConnectionStringTest/MockConnectionProvider;cs+class://NHibernate/Connection/ConnectionProvider;Void ConfigureDriver(IDictionary);Void ConfigureDriver(IDictionary);Configure
cs+class://NHibernate/Test/ConnectionTest/AggressiveReleaseTest;cs+class://NHibernate/Test/ConnectionTest/ConnectionManagementTestCase;Void Configure(Configuration);Void Configure(Configuration);Configure
cs+class://NHibernate/Test/ConnectionTest/ThreadLocalCurrentSessionTest;cs+class://NHibernate/Test/ConnectionTest/ConnectionManagementTestCase;Void Configure(Configuration);Void Configure(Configuration);Configure
cs+class://NHibernate/Test/Criteria/AddNumberProjection;cs+class://NHibernate/Criterion/SimpleProjection;UnknownType GetTypes(ICriteria, ICriteriaQuery);UnknownType GetTypes(ICriteria, ICriteriaQuery);GetColumnCount
cs+class://NHibernate/Test/Criteria/Lambda/FunctionsIntegrationFixture;cs+class://NHibernate/Test/TestCase;Void OnSetUp();Void OnSetUp();SetUp
