fromType;toType;fromMethod;toMethod;calledFrom
cs+class://System/Net/Http/Formatting/FormUrlEncodedMediaTypeFormatter;cs+class://System/Net/Http/Formatting/MediaTypeFormatter;Task ReadFromStreamAsync(Type, Stream, HttpContent, IFormatterLogger);Task ReadFromStreamAsync(Type, Stream, HttpContent, IFormatterLogger);ReadFromStreamAsync
cs+class://System/Net/Http/Formatting/JsonMediaTypeFormatter;cs+class://System/Net/Http/Formatting/BaseJsonMediaTypeFormatter;Object ReadFromStream(Type, Stream, Encoding, IFormatterLogger);Object ReadFromStream(Type, Stream, Encoding, IFormatterLogger);ReadFromStream
cs+class://System/Net/Http/Formatting/JsonMediaTypeFormatter;cs+class://System/Net/Http/Formatting/BaseJsonMediaTypeFormatter;UnknownType CreateJsonReader(Type, Stream, Encoding);UnknownType CreateJsonReader(Type, Stream, Encoding);CreateJsonReaderInternal
cs+class://System/Net/Http/Formatting/JsonMediaTypeFormatter;cs+class://System/Net/Http/Formatting/BaseJsonMediaTypeFormatter;Void WriteToStream(Type, Object, Stream, Encoding);Void WriteToStream(Type, Object, Stream, Encoding);WriteToStream
cs+class://System/Net/Http/Formatting/JsonMediaTypeFormatter;cs+class://System/Net/Http/Formatting/BaseJsonMediaTypeFormatter;UnknownType CreateJsonWriter(Type, Stream, Encoding);UnknownType CreateJsonWriter(Type, Stream, Encoding);CreateJsonWriterInternal
cs+class://System/Net/Http/Formatting/JsonMediaTypeFormatter;cs+class://System/Net/Http/Formatting/BaseJsonMediaTypeFormatter;Task WriteToStreamAsync(Type, Object, Stream, HttpContent, TransportContext, CancellationToken);Task WriteToStreamAsync(Type, Object, Stream, HttpContent, TransportContext, CancellationToken);WriteToStreamAsync
cs+class://System/Net/Http/Formatting/XmlMediaTypeFormatter;cs+class://System/Net/Http/Formatting/MediaTypeFormatter;Task ReadFromStreamAsync(Type, Stream, HttpContent, IFormatterLogger);Task ReadFromStreamAsync(Type, Stream, HttpContent, IFormatterLogger);ReadFromStreamAsync
cs+class://System/Net/Http/Formatting/XmlMediaTypeFormatter;cs+class://System/Net/Http/Formatting/MediaTypeFormatter;Task WriteToStreamAsync(Type, Object, Stream, HttpContent, TransportContext, CancellationToken);Task WriteToStreamAsync(Type, Object, Stream, HttpContent, TransportContext, CancellationToken);WriteToStreamAsync
cs+class://System/Net/Http/MultipartFormDataStreamProvider;cs+class://System/Net/Http/MultipartFileStreamProvider;Task ExecutePostProcessingAsync();Task ExecutePostProcessingAsync();ExecutePostProcessingAsync
cs+class://Microsoft/TestCommon/RefTypeTestData[1];cs+class://Microsoft/TestCommon/TestData[1];IEnumerable GetTypedTestData();IEnumerable GetTypedTestData();(field initializer)
cs+class://Microsoft/TestCommon/RefTypeTestData[1];cs+class://Microsoft/TestCommon/TestData[1];IEnumerable GetTypedTestData();IEnumerable GetTypedTestData();GetEnumerator
cs+class://Microsoft/TestCommon/RefTypeTestData[1];cs+class://Microsoft/TestCommon/TestData[1];IEnumerable GetTypedTestData();IEnumerable GetTypedTestData();GetEnumerator
cs+class://Microsoft/TestCommon/RefTypeTestData[1];cs+class://Microsoft/TestCommon/TestData[1];IEnumerable GetTypedTestData();IEnumerable GetTypedTestData();GetTestDataAsArray
cs+class://Microsoft/TestCommon/RefTypeTestData[1];cs+class://Microsoft/TestCommon/TestData[1];IEnumerable GetTypedTestData();IEnumerable GetTypedTestData();GetTestDataAsList
cs+class://Microsoft/TestCommon/RefTypeTestData[1];cs+class://Microsoft/TestCommon/TestData[1];IEnumerable GetTypedTestData();IEnumerable GetTypedTestData();GetTestDataAsIEnumerable
cs+class://Microsoft/TestCommon/RefTypeTestData[1];cs+class://Microsoft/TestCommon/TestData[1];IEnumerable GetTypedTestData();IEnumerable GetTypedTestData();GetTestDataAsIQueryable
cs+class://Microsoft/TestCommon/RefTypeTestData[1];cs+class://Microsoft/TestCommon/TestData[1];IEnumerable GetTypedTestData();IEnumerable GetTypedTestData();GetTestDataAsDictionary
cs+class://Microsoft/TestCommon/RefTypeTestData[1];cs+class://Microsoft/TestCommon/TestData[1];IEnumerable GetTypedTestData();IEnumerable GetTypedTestData();GetTestDataInHolder
