fromType;toType;fromMethod;toMethod;calledFrom
cs+class://Castle/DynamicProxy/Contributors/InterfaceProxyInstanceContributor;cs+class://Castle/DynamicProxy/Contributors/ProxyInstanceContributor;Void CustomizeGetObjectData(AbstractCodeBuilder, ArgumentReference, ArgumentReference, ClassEmitter);Void CustomizeGetObjectData(AbstractCodeBuilder, ArgumentReference, ArgumentReference, ClassEmitter);ImplementGetObjectData
cs+class://Castle/DynamicProxy/Contributors/InterfaceProxyTargetContributor;cs+class://Castle/DynamicProxy/Contributors/CompositeTypeContributor;IEnumerable CollectElementsToProxyInternal(IProxyGenerationHook);IEnumerable CollectElementsToProxyInternal(IProxyGenerationHook);CollectElementsToProxy
cs+class://Castle/DynamicProxy/Contributors/InterfaceProxyTargetContributor;cs+class://Castle/DynamicProxy/Contributors/CompositeTypeContributor;MethodGenerator GetMethodGenerator(MetaMethod, ClassEmitter, ProxyGenerationOptions, UnknownType);MethodGenerator GetMethodGenerator(MetaMethod, ClassEmitter, ProxyGenerationOptions, UnknownType);ImplementMethod
cs+class://Castle/DynamicProxy/Generators/CompositionInvocationTypeGenerator;cs+class://Castle/DynamicProxy/Generators/InvocationTypeGenerator;FieldReference GetTargetReference();FieldReference GetTargetReference();Generate
cs+class://Castle/DynamicProxy/Generators/CompositionInvocationTypeGenerator;cs+class://Castle/DynamicProxy/Generators/InvocationTypeGenerator;UnknownType GetBaseCtorArguments(Type, ProxyGenerationOptions, UnknownType);UnknownType GetBaseCtorArguments(Type, ProxyGenerationOptions, UnknownType);CreateConstructor
cs+class://Castle/DynamicProxy/Generators/CompositionInvocationTypeGenerator;cs+class://Castle/DynamicProxy/Generators/InvocationTypeGenerator;Type GetBaseType();Type GetBaseType();GetEmitter
cs+class://Castle/DynamicProxy/Generators/CompositionInvocationTypeGenerator;cs+class://Castle/DynamicProxy/Generators/InvocationTypeGenerator;Void ImplementInvokeMethodOnTarget(AbstractTypeEmitter, UnknownType, MethodEmitter, Reference);Void ImplementInvokeMethodOnTarget(AbstractTypeEmitter, UnknownType, MethodEmitter, Reference);ImplemementInvokeMethodOnTarget
cs+class://Castle/DynamicProxy/Generators/InterfaceProxyWithoutTargetGenerator;cs+class://Castle/DynamicProxy/Generators/InterfaceProxyWithTargetGenerator;Type GenerateType(String, Type, UnknownType, INamingScope);Type GenerateType(String, Type, UnknownType, INamingScope);GenerateCode
cs+class://Castle/DynamicProxy/Generators/InterfaceProxyWithoutTargetGenerator;cs+class://Castle/DynamicProxy/Generators/InterfaceProxyWithTargetGenerator;ITypeContributor AddMappingForTargetType(IDictionary, Type, ICollection, ICollection, INamingScope);ITypeContributor AddMappingForTargetType(IDictionary, Type, ICollection, ICollection, INamingScope);GetTypeImplementerMapping
cs+class://Castle/DynamicProxy/Generators/InterfaceProxyWithTargetInterfaceGenerator;cs+class://Castle/DynamicProxy/Generators/InterfaceProxyWithTargetGenerator;ITypeContributor AddMappingForTargetType(IDictionary, Type, ICollection, ICollection, INamingScope);ITypeContributor AddMappingForTargetType(IDictionary, Type, ICollection, ICollection, INamingScope);GetTypeImplementerMapping
