fromType;toType;fromMethod;toMethod;calledFrom
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];Boolean RemoveAll(ICollection);Boolean RemoveAll(ICollection);Minus
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];ISet Minus(ISet);ISet Minus(ISet);Minus
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];Object Clone();Object Clone();ExclusiveOr
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];Boolean Contains(UnknownType);Boolean Contains(UnknownType);ExclusiveOr
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];Boolean Remove(UnknownType);Boolean Remove(UnknownType);ExclusiveOr
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];Boolean Add(UnknownType);Boolean Add(UnknownType);ExclusiveOr
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];Object Clone();Object Clone();ExclusiveOr
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];Object Clone();Object Clone();ExclusiveOr
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];ISet ExclusiveOr(ISet);ISet ExclusiveOr(ISet);ExclusiveOr
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];Boolean AddAll(ICollection);Boolean AddAll(ICollection);Clone
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];IEnumerator GetEnumerator();IEnumerator GetEnumerator();GetEnumerator
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];Boolean Add(UnknownType);Boolean Add(UnknownType);Add
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];Object Clone();Object Clone();NonGenericUnion
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];Object Clone();Object Clone();NonGenericMinus
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];Object Clone();Object Clone();NonGenericIntersect
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];Void Clear();Void Clear();NonGenericIntersect
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];Object Clone();Object Clone();NonGenericExclusiveOr
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];Void NonGenericCopyTo(Array, Int32);Void NonGenericCopyTo(Array, Int32);CopyTo
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];ISet NonGenericUnion(ISet);ISet NonGenericUnion(ISet);Union
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];ISet NonGenericIntersect(ISet);ISet NonGenericIntersect(ISet);Intersect
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];ISet NonGenericMinus(ISet);ISet NonGenericMinus(ISet);Minus
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];ISet NonGenericExclusiveOr(ISet);ISet NonGenericExclusiveOr(ISet);ExclusiveOr
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];Boolean Contains(UnknownType);Boolean Contains(UnknownType);Contains
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];Boolean ContainsAll(ICollection);Boolean ContainsAll(ICollection);ContainsAll
cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];Boolean Add(UnknownType);Boolean Add(UnknownType);Add
