From;To;Source
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbProjectExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbPropertyExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbQuantifierExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbRefExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbUnaryExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbRelationshipNavigationExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbSkipExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbSortExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbTreatExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbUnaryExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbUnaryExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbFunctionAggregate;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbAggregate;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbBinaryExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbDeleteCommandTree;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbModificationCommandTree;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbFunctionCommandTree;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbCommandTree;(not implemented)
