TypeName;SystemType
cs+interface://System/Runtime/Remoting/IChannelInfo;False
cs+interface://System/Runtime/Serialization/IObjectReference;False
cs+class://System/Threading/Tasks/Task;False
cs+class://System/Threading/Tasks/TaskScheduler;False
cs+class://System/Runtime/CompilerServices/TaskAwaiter;False
cs+interface://System/Runtime/CompilerServices/ICriticalNotifyCompletion;False
cs+interface://System/Runtime/CompilerServices/INotifyCompletion;False
cs+class://System/Runtime/CompilerServices/ConfiguredTaskAwaitable;False
cs+class://System/Runtime/CompilerServices/ConfiguredTaskAwaitable/ConfiguredTaskAwaiter;False
cs+class://System/Runtime/CompilerServices/YieldAwaitable;False
cs+class://System/Runtime/CompilerServices/YieldAwaitable/YieldAwaiter;False
cs+class://System/Threading/CancellationToken;False
cs+class://System/Threading/CancellationTokenRegistration;False
cs+class://System/Threading/WaitHandle;False
cs+class://Microsoft/Win32/SafeHandles/SafeWaitHandle;False
cs+class://System/Runtime/ConstrainedExecution/CriticalFinalizerObject;False
cs+class://System/Runtime/InteropServices/SafeHandle;False
cs+class://Microsoft/Win32/SafeHandles/SafeHandleZeroOrMinusOneIsInvalid;False
cs+class://System/Threading/Tasks/Task[1];False
cs+class://System/Nullable[1];False
cs+class://System/AggregateException;False
cs+class://System/Exception;False
cs+interface://System/Runtime/InteropServices/_Exception;False
cs+class://System/Threading/Tasks/TaskFactory;False
cs+interface://System/IAsyncResult;False
cs+class://System/Runtime/CompilerServices/TaskAwaiter[1];False
cs+class://System/Runtime/CompilerServices/ConfiguredTaskAwaitable[1];False
cs+class://System/Runtime/CompilerServices/ConfiguredTaskAwaitable/ConfiguredTaskAwaiter[1];False
cs+class://System/Threading/Tasks/TaskFactory[1];False
cs+class://System/Reflection/Binder;False
cs+class://System/Reflection/FieldInfo;False
cs+class://System/RuntimeFieldHandle;False
cs+class://System/RuntimeTypeHandle;False
cs+class://System/ModuleHandle;False
cs+class://System/TypedReference;False
cs+interface://System/Runtime/InteropServices/_FieldInfo;False
cs+class://System/Reflection/PropertyInfo;False
cs+class://System/Reflection/MethodInfo;False
cs+class://System/Reflection/MethodBody;False
cs+class://System/Delegate;False
cs+class://System/Reflection/ParameterInfo;False
cs+interface://System/Runtime/InteropServices/_ParameterInfo;False
cs+interface://System/Reflection/ICustomAttributeProvider;False
cs+interface://System/Runtime/InteropServices/_MethodInfo;False
cs+interface://System/Runtime/InteropServices/_PropertyInfo;False
cs+class://System/IO/FileStream;False
cs+class://System/Security/AccessControl/FileSecurity;False
cs+class://System/Security/AccessControl/ObjectSecurity;False
cs+class://System/Security/Principal/IdentityReference;False
cs+class://System/Security/AccessControl/AccessRule;False
cs+class://System/Security/AccessControl/AuthorizationRule;False
cs+class://System/Security/AccessControl/AuditRule;False
cs+class://System/Security/AccessControl/CommonObjectSecurity;False
cs+class://System/Security/AccessControl/AuthorizationRuleCollection;False
cs+class://System/Collections/ReadOnlyCollectionBase;False
cs+class://System/Collections/ArrayList;False
cs+class://System/Security/AccessControl/NativeObjectSecurity;False
cs+class://System/Security/AccessControl/FileSystemSecurity;False
cs+class://System/Security/AccessControl/FileSystemAccessRule;False
cs+class://System/Security/AccessControl/FileSystemAuditRule;False
cs+class://Microsoft/Win32/SafeHandles/SafeFileHandle;False
cs+class://System/Reflection/ManifestResourceInfo;False
cs+class://System/Security/PermissionSet;False
cs+interface://System/Security/IPermission;False
cs+interface://System/Security/ISecurityEncodable;False
cs+class://System/Security/SecurityElement;False
cs+class://System/Collections/Hashtable;False
cs+interface://System/Collections/IHashCodeProvider;False
cs+interface://System/Security/IStackWalk;False
cs+interface://System/Runtime/InteropServices/_Assembly;False
cs+interface://System/Security/IEvidenceFactory;False
cs+class://System/Globalization/SortKey;False
cs+class://System/Globalization/SortVersion;False
cs+class://System/Guid;False
cs+class://System/Globalization/TextInfo;False
cs+class://System/Globalization/NumberFormatInfo;False
cs+class://System/Globalization/DateTimeFormatInfo;False
cs+class://System/Globalization/Calendar;False
cs+interface://System/Runtime/InteropServices/_MethodBase;False
cs+class://System/Security/Cryptography/X509Certificates/X509Certificate;False
cs+class://System/Security/SecureString;False
cs+interface://System/Runtime/InteropServices/_Module;False
cs+class://System/Reflection/ConstructorInfo;False
cs+interface://System/Runtime/InteropServices/_ConstructorInfo;False
cs+interface://System/Runtime/InteropServices/_MemberInfo;False
cs+class://System/Reflection/EventInfo;False
cs+interface://System/Runtime/InteropServices/_EventInfo;False
cs+class://System/Reflection/InterfaceMapping;False
cs+class://System/Runtime/InteropServices/StructLayoutAttribute;False
cs+class://System/Attribute;False
cs+interface://System/Runtime/InteropServices/_Attribute;False
cs+interface://System/Runtime/InteropServices/_Type;False
cs+interface://System/Reflection/IReflect;False
cs+class://System/CharEnumerator;False
cs+class://System/Web/Http/Controllers/HttpControllerContext;False
cs+class://System/Web/Http/HttpConfiguration;False
cs+class://System/Web/Http/Filters/HttpFilterCollection;False
cs+interface://System/Web/Http/Filters/IFilter;False
cs+class://System/Collections/ObjectModel/Collection[1];False
cs+class://System/Net/Http/DelegatingHandler;False
cs+class://System/Net/Http/HttpMessageHandler;False
cs+class://System/Net/Http/HttpRequestMessage;False
cs+class://System/Net/Http/HttpContent;False
cs+class://System/Net/TransportContext;False
cs+class://System/Security/Authentication/ExtendedProtection/ChannelBinding;False
cs+class://System/Net/Http/Headers/HttpContentHeaders;False
cs+class://System/Net/Http/Headers/HttpHeaders;False
cs+class://System/Net/Http/Headers/ContentDispositionHeaderValue;False
cs+class://System/Uri;False
cs+class://System/Net/Http/Headers/ContentRangeHeaderValue;False
cs+class://System/Net/Http/Headers/MediaTypeHeaderValue;False
cs+class://System/Net/Http/HttpMethod;False
cs+class://System/Net/Http/Headers/HttpRequestHeaders;False
cs+class://System/Net/Http/Headers/HttpHeaderValueCollection[1];False
cs+class://System/Net/Http/Headers/MediaTypeWithQualityHeaderValue;False
cs+class://System/Net/Http/Headers/AuthenticationHeaderValue;False
cs+class://System/Net/Http/Headers/RangeConditionHeaderValue;False
cs+class://System/Net/Http/Headers/EntityTagHeaderValue;False
cs+class://System/Net/Http/Headers/RangeHeaderValue;False
cs+class://System/Net/Http/Headers/CacheControlHeaderValue;False
cs+interface://System/Collections/Generic/IDictionary[2];False
cs+class://System/Collections/Generic/KeyValuePair[2];False
cs+class://System/Web/Http/HttpRouteCollection;False
cs+interface://System/Web/Http/Routing/IHttpRouteData;False
cs+interface://System/Web/Http/Routing/IHttpRoute;False
cs+interface://System/Web/Http/Routing/IHttpVirtualPathData;False
cs+class://System/Collections/Concurrent/ConcurrentDictionary[2];False
cs+interface://System/Web/Http/Dependencies/IDependencyResolver;False
cs+interface://System/Web/Http/Dependencies/IDependencyScope;False
cs+class://System/Web/Http/Controllers/ServicesContainer;False
cs+class://System/Collections/Generic/List[1];False
cs+class://System/Collections/Generic/List/Enumerator[1];False
cs+class://System/Web/Http/ModelBinding/ParameterBindingRulesCollection;False
cs+class://System/Web/Http/Controllers/HttpParameterBinding;False
cs+class://System/Web/Http/Metadata/ModelMetadataProvider;False
cs+class://System/Web/Http/Metadata/ModelMetadata;False
cs+class://System/Collections/Generic/Dictionary[2];False
cs+class://System/Collections/Generic/Dictionary/Enumerator[2];False
cs+interface://System/Collections/Generic/IEqualityComparer[1];False
cs+class://System/Collections/Generic/Dictionary/KeyCollection[2];False
cs+class://System/Collections/Generic/Dictionary/KeyCollection/Enumerator[2];False
cs+class://System/Collections/Generic/Dictionary/ValueCollection[2];False
cs+class://System/Collections/Generic/Dictionary/ValueCollection/Enumerator[2];False
cs+interface://System/Collections/Generic/IReadOnlyDictionary[2];False
cs+class://System/Web/Http/Controllers/HttpParameterDescriptor;False
cs+class://System/Web/Http/Controllers/HttpActionDescriptor;False
