From;To;Source
cs+class://Raven/Database/Server/RavenFS/Synchronization/Rdc/Wrapper/RdcException;cs+class://System/Exception;(not implemented)
cs+class://Raven/Database/Server/RavenFS/Synchronization/RenameWorkItem;cs+class://Raven/Database/Server/RavenFS/Synchronization/SynchronizationWorkItem;(not implemented)
cs+class://Raven/Database/Server/RavenFS/Util/SynchronizingFileStream;cs+class://Raven/Database/Server/RavenFS/Util/StorageStream;(not implemented)
cs+class://Lucene/Net/Search/Vectorhighlight/ScoreOrderFragmentsBuilder;cs+class://Lucene/Net/Search/Vectorhighlight/BaseFragmentsBuilder;(not implemented)
cs+class://Lucene/Net/Search/Vectorhighlight/SimpleFragmentsBuilder;cs+class://Lucene/Net/Search/Vectorhighlight/BaseFragmentsBuilder;(not implemented)
cs+class://Raven/Database/Config/Settings/BooleanSetting;cs+class://Raven/Database/Config/Settings/Setting[1];(not implemented)
cs+class://Raven/Database/Config/Settings/IntegerSetting;cs+class://Raven/Database/Config/Settings/Setting[1];(not implemented)
cs+class://Raven/Database/Config/Settings/IntegerSettingWithMin;cs+class://Raven/Database/Config/Settings/Setting[1];(not implemented)
cs+class://Raven/Database/Config/Settings/StringSetting;cs+class://Raven/Database/Config/Settings/Setting[1];(not implemented)
cs+class://Raven/Database/Config/Settings/TimeSpanSetting;cs+class://Raven/Database/Config/Settings/Setting[1];(not implemented)
cs+class://Raven/Database/Indexing/LowerCaseKeywordTokenizer;cs+class://Lucene/Net/Analysis/Tokenizer;(not implemented)
cs+class://Raven/Database/Indexing/LowerCaseWhitespaceTokenizer;cs+class://Raven/Database/Indexing/LowerCaseKeywordTokenizer;(not implemented)
cs+class://Raven/Database/Indexing/Spatial/BBoxStrategyThatSupportsAllShapes;cs+class://Lucene/Net/Spatial/BBox/BBoxStrategy;(not implemented)
cs+class://Raven/Database/Indexing/Spatial/RecursivePrefixTreeStrategyThatSupportsWithin;cs+class://Lucene/Net/Spatial/Prefix/PrefixTreeStrategy;(not implemented)
cs+class://Raven/Database/Linq/DynamicTransformerCompiler;cs+class://Raven/Database/Linq/DynamicCompilerBase;(not implemented)
cs+class://Raven/Database/Linq/StringLiteralExpression;cs+class://ICSharpCode/NRefactory/CSharp/PrimitiveExpression;(not implemented)
cs+class://Raven/Database/Linq/VerbatimStringLiteralExpression;cs+class://ICSharpCode/NRefactory/CSharp/PrimitiveExpression;(not implemented)
cs+class://Raven/Database/Bundles/MoreLikeThis/RavenMoreLikeThis;cs+class://Lucene/Net/Search/Similar/MoreLikeThis;(not implemented)
cs+class://Raven/Database/Indexing/LuceneCodecDirectory;cs+class://Lucene/Net/Store/FSDirectory;(not implemented)
cs+class://Raven/Database/Indexing/LuceneCodecDirectory/CodecIndexInput;cs+class://Lucene/Net/Store/BufferedIndexInput;(not implemented)
cs+class://Raven/Database/Indexing/ReduceBatchSizeAutoTuner;cs+class://Raven/Database/Indexing/BaseBatchSizeAutoTuner;(not implemented)
cs+class://Raven/Database/Indexing/IndexBatchSizeAutoTuner;cs+class://Raven/Database/Indexing/BaseBatchSizeAutoTuner;(not implemented)
cs+class://Raven/Database/Indexing/Sorting/RandomSortField;cs+class://Lucene/Net/Search/SortField;(not implemented)
cs+class://Raven/Database/Json/ParseException;cs+class://System/Exception;(not implemented)
cs+class://Raven/Database/Plugins/Catalogs/BuiltinFilteringCatalog;cs+class://Raven/Database/Plugins/Catalogs/FilteredCatalog;(not implemented)
cs+class://Raven/Database/Plugins/Catalogs/BundlesFilteredCatalog;cs+class://Raven/Database/Plugins/Catalogs/FilteredCatalog;(not implemented)
cs+class://Rhino/Licensing/FloatingLicenseNotAvailableException;cs+class://Rhino/Licensing/RhinoLicensingException;(not implemented)
cs+class://Rhino/Licensing/LicenseExpiredException;cs+class://Rhino/Licensing/RhinoLicensingException;(not implemented)
cs+class://Rhino/Licensing/LicenseFileNotFoundException;cs+class://Rhino/Licensing/RhinoLicensingException;(not implemented)
cs+class://Rhino/Licensing/LicenseNotFoundException;cs+class://Rhino/Licensing/RhinoLicensingException;(not implemented)
cs+class://Rhino/Licensing/LicenseValidator;cs+class://Rhino/Licensing/AbstractLicenseValidator;(not implemented)
cs+class://Rhino/Licensing/RhinoLicensingException;cs+class://System/Exception;(not implemented)
cs+class://Rhino/Licensing/CorruptLicenseFileException;cs+class://Rhino/Licensing/RhinoLicensingException;(not implemented)
cs+class://Rhino/Licensing/StringLicenseValidator;cs+class://Rhino/Licensing/AbstractLicenseValidator;(not implemented)
cs+class://Raven/Database/Indexing/ReducingExecuter;cs+class://Raven/Database/Indexing/AbstractIndexingExecuter;(not implemented)
cs+class://Raven/Database/Indexing/Collation/CollationKeyFilter;cs+class://Lucene/Net/Analysis/TokenFilter;(not implemented)
cs+class://Raven/Database/Indexing/RangeQueryParser;cs+class://Lucene/Net/QueryParsers/QueryParser;(not implemented)
cs+class://Raven/Database/Indexing/MapReduceIndex;cs+class://Raven/Database/Indexing/Index;(not implemented)
cs+class://Raven/Database/Indexing/SimpleIndex;cs+class://Raven/Database/Indexing/Index;(not implemented)
cs+class://Raven/Database/Indexing/IndexingExecuter;cs+class://Raven/Database/Indexing/AbstractIndexingExecuter;(not implemented)
cs+class://Raven/Database/Linq/DynamicViewCompiler;cs+class://Raven/Database/Linq/DynamicCompilerBase;(not implemented)
cs+class://Raven/Database/Storage/Esent/Backup/BackupOperation;cs+class://Raven/Database/Storage/BaseBackupOperation;(not implemented)
cs+class://Raven/Database/Storage/Esent/Backup/RestoreOperation;cs+class://Raven/Database/Storage/BaseRestoreOperation;(not implemented)
cs+class://Raven/Storage/Esent/StorageActions/OptimizedIndexReader;cs+class://Raven/Storage/Esent/StorageActions/OptimizedIndexReader[1];(not implemented)
cs+class://Raven/Database/Storage/Voron/Backup/BackupOperation;cs+class://Raven/Database/Storage/BaseBackupOperation;(not implemented)
cs+class://Raven/Database/Storage/Voron/Backup/RestoreOperation;cs+class://Raven/Database/Storage/BaseRestoreOperation;(not implemented)
cs+class://Raven/Database/Storage/Voron/StorageActions/DocumentsStorageActions;cs+class://Raven/Database/Storage/Voron/StorageActions/StorageActionsBase;(not implemented)
cs+class://Raven/Database/Storage/Voron/StorageActions/AttachmentsStorageActions;cs+class://Raven/Database/Storage/Voron/StorageActions/StorageActionsBase;(not implemented)
cs+class://Raven/Database/Storage/Voron/Impl/Index;cs+class://Raven/Database/Storage/Voron/Impl/TableBase;(not implemented)
cs+class://Raven/Database/Storage/Voron/StorageActions/GeneralStorageActions;cs+class://Raven/Database/Storage/Voron/StorageActions/StorageActionsBase;(not implemented)
