TypeName;SystemType
cs+class://WorldWind/AboutDialog;True
cs+class://System/Windows/Forms/Form;False
cs+class://System/Boolean;False
cs+class://System/Object;False
cs+class://System/String;False
cs+class://System/Int32;False
cs+class://System/Type;False
cs+class://System/Reflection/MemberInfo;False
cs+interface://System/Collections/Generic/IList[1];False
cs+interface://System/Collections/IEnumerable;False
cs+interface://System/Collections/IEnumerator;False
cs+interface://System/Collections/Generic/IEnumerable[1];False
cs+interface://System/Collections/Generic/IEnumerator[1];False
cs+interface://System/IDisposable;False
cs+class://System/Reflection/CustomAttributeData;False
cs+class://System/Reflection/Module;False
cs+class://System/Reflection/MethodBase;False
cs+class://System/RuntimeMethodHandle;False
cs+class://System/ValueType;False
cs+class://System/Runtime/Serialization/SerializationInfo;False
cs+class://System/Runtime/Serialization/SerializationInfoEnumerator;False
cs+class://System/Runtime/Serialization/SerializationEntry;False
cs+class://System/Char;False
cs+interface://System/IFormatProvider;False
cs+class://System/Globalization/CultureInfo;False
cs+class://System/Globalization/CompareInfo;False
cs+class://System/Reflection/Assembly;False
cs+class://System/Security/Policy/Evidence;False
cs+class://System/Array;False
cs+class://System/Collections/ObjectModel/ReadOnlyCollection[1];False
cs+interface://System/Collections/Generic/ICollection[1];False
cs+interface://System/Collections/IList;False
cs+interface://System/Collections/ICollection;False
cs+class://System/Int64;False
cs+interface://System/IComparable;False
cs+interface://System/IFormattable;False
cs+interface://System/IConvertible;False
cs+class://System/SByte;False
cs+interface://System/IComparable[1];False
cs+interface://System/IEquatable[1];False
cs+class://System/Byte;False
cs+class://System/Int16;False
cs+class://System/UInt16;False
cs+class://System/UInt32;False
cs+class://System/UInt64;False
cs+class://System/Single;False
cs+class://System/Double;False
cs+class://System/Decimal;False
cs+interface://System/Runtime/Serialization/IDeserializationCallback;False
cs+class://System/DateTime;False
cs+class://System/TimeSpan;False
cs+interface://System/Runtime/Serialization/ISerializable;False
cs+class://System/Runtime/Serialization/StreamingContext;False
cs+interface://System/Collections/IComparer;False
cs+interface://System/Collections/Generic/IComparer[1];False
cs+interface://System/ICloneable;False
cs+interface://System/Collections/IStructuralComparable;False
cs+interface://System/Collections/IStructuralEquatable;False
cs+interface://System/Collections/IEqualityComparer;False
cs+class://System/Reflection/AssemblyName;False
cs+class://System/Version;False
cs+class://System/Reflection/StrongNameKeyPair;False
cs+interface://System/Runtime/InteropServices/_AssemblyName;False
cs+class://System/IntPtr;False
cs+class://System/IO/Stream;False
cs+class://System/MarshalByRefObject;False
