TypeName;SystemType
cs+class://Gallio/Echo/EchoArguments;True
cs+class://Gallio/Echo/EchoProgram;True
cs+class://Gallio/Runtime/ConsoleSupport/ConsoleProgram[1];True
cs+class://Gallio/Echo/Properties/Resources;True
cs+class://Gallio/Icarus/AboutDialog;True
cs+class://System/Windows/Forms/Form;False
cs+class://System/Boolean;False
cs+class://System/Object;False
cs+class://System/String;False
cs+class://System/Int32;False
cs+class://System/Type;False
cs+class://System/Reflection/MemberInfo;False
cs+class://System/Reflection/Module;False
cs+class://System/Reflection/MethodBase;False
cs+class://System/RuntimeMethodHandle;False
cs+class://System/ValueType;False
cs+class://System/Runtime/Serialization/SerializationInfo;False
cs+class://System/Runtime/Serialization/SerializationInfoEnumerator;False
cs+class://System/Runtime/Serialization/SerializationEntry;False
cs+interface://System/Collections/IEnumerator;False
cs+class://System/Char;False
cs+interface://System/IFormatProvider;False
cs+class://System/Globalization/CultureInfo;False
cs+class://System/Globalization/CompareInfo;False
cs+class://System/Reflection/Assembly;False
cs+class://System/Reflection/AssemblyName;False
cs+class://System/Runtime/Serialization/StreamingContext;False
cs+class://System/Version;False
cs+class://System/Int16;False
cs+interface://System/IComparable;False
cs+interface://System/IFormattable;False
cs+interface://System/IConvertible;False
cs+class://System/SByte;False
cs+interface://System/IComparable[1];False
cs+interface://System/IEquatable[1];False
cs+class://System/Byte;False
cs+class://System/UInt16;False
cs+class://System/UInt32;False
cs+class://System/Int64;False
cs+class://System/UInt64;False
cs+class://System/Single;False
cs+class://System/Double;False
cs+class://System/Decimal;False
cs+class://System/DateTime;False
cs+class://System/TimeSpan;False
cs+interface://System/Runtime/Serialization/ISerializable;False
cs+interface://System/ICloneable;False
cs+class://System/Reflection/StrongNameKeyPair;False
cs+interface://System/Runtime/Serialization/IDeserializationCallback;False
cs+interface://System/Runtime/InteropServices/_AssemblyName;False
cs+class://System/IntPtr;False
cs+class://System/IO/Stream;False
cs+class://System/MarshalByRefObject;False
cs+class://System/Runtime/Remoting/ObjRef;False
cs+interface://System/Runtime/Remoting/IRemotingTypeInfo;False
cs+interface://System/Runtime/Remoting/IEnvoyInfo;False
cs+interface://System/Runtime/Remoting/Messaging/IMessageSink;False
cs+interface://System/Runtime/Remoting/Messaging/IMessage;False
cs+interface://System/Collections/IDictionary;False
cs+interface://System/Collections/IEnumerable;False
cs+interface://System/Collections/ICollection;False
cs+class://System/Array;False
cs+class://System/Collections/ObjectModel/ReadOnlyCollection[1];False
cs+interface://System/Collections/Generic/IEnumerator[1];False
cs+interface://System/IDisposable;False
cs+interface://System/Collections/Generic/IList[1];False
cs+interface://System/Collections/Generic/IEnumerable[1];False
cs+interface://System/Collections/Generic/ICollection[1];False
cs+interface://System/Collections/IList;False
cs+interface://System/Collections/IComparer;False
cs+interface://System/Collections/Generic/IComparer[1];False
cs+interface://System/Collections/IDictionaryEnumerator;False
cs+class://System/Collections/DictionaryEntry;False
cs+interface://System/Runtime/Remoting/Messaging/IMessageCtrl;False
cs+interface://System/Runtime/Remoting/IChannelInfo;False
cs+interface://System/Runtime/Serialization/IObjectReference;False
cs+class://System/Threading/WaitHandle;False
cs+class://Microsoft/Win32/SafeHandles/SafeWaitHandle;False
cs+class://System/Runtime/ConstrainedExecution/CriticalFinalizerObject;False
cs+class://System/Runtime/InteropServices/SafeHandle;False
cs+class://Microsoft/Win32/SafeHandles/SafeHandleZeroOrMinusOneIsInvalid;False
cs+interface://System/IAsyncResult;False
cs+class://System/Security/Policy/Evidence;False
cs+class://System/Reflection/Binder;False
cs+class://System/Reflection/FieldInfo;False
cs+class://System/RuntimeFieldHandle;False
cs+class://System/RuntimeTypeHandle;False
cs+class://System/ModuleHandle;False
cs+class://System/TypedReference;False
cs+interface://System/Runtime/InteropServices/_FieldInfo;False
cs+class://System/Reflection/PropertyInfo;False
cs+class://System/Reflection/MethodInfo;False
cs+class://System/Reflection/MethodBody;False
cs+class://System/Reflection/ParameterInfo;False
cs+interface://System/Runtime/InteropServices/_ParameterInfo;False
cs+interface://System/Reflection/ICustomAttributeProvider;False
cs+interface://System/Runtime/InteropServices/_MethodInfo;False
cs+interface://System/Runtime/InteropServices/_PropertyInfo;False
cs+class://System/IO/FileStream;False
cs+class://System/Security/AccessControl/FileSecurity;False
cs+class://System/Security/AccessControl/ObjectSecurity;False
cs+class://System/Security/Principal/IdentityReference;False
cs+class://System/Security/AccessControl/AccessRule;False
cs+class://System/Security/AccessControl/AuthorizationRule;False
cs+class://System/Security/AccessControl/AuditRule;False
cs+class://System/Security/AccessControl/CommonObjectSecurity;False
cs+class://System/Security/AccessControl/AuthorizationRuleCollection;False
cs+class://System/Collections/ReadOnlyCollectionBase;False
cs+class://System/Collections/ArrayList;False
cs+class://System/Security/AccessControl/NativeObjectSecurity;False
cs+class://System/Security/AccessControl/FileSystemSecurity;False
cs+class://System/Security/AccessControl/FileSystemAccessRule;False
cs+class://System/Security/AccessControl/FileSystemAuditRule;False
cs+class://Microsoft/Win32/SafeHandles/SafeFileHandle;False
cs+class://System/Reflection/ManifestResourceInfo;False
cs+interface://System/Runtime/InteropServices/_Assembly;False
cs+interface://System/Security/IEvidenceFactory;False
cs+class://System/Globalization/SortKey;False
cs+class://System/Globalization/TextInfo;False
cs+class://System/Globalization/NumberFormatInfo;False
cs+class://System/Globalization/DateTimeFormatInfo;False
cs+class://System/Globalization/Calendar;False
cs+interface://System/Runtime/InteropServices/_MethodBase;False
cs+class://System/Security/Cryptography/X509Certificates/X509Certificate;False
cs+class://System/Security/SecureString;False
cs+class://System/Guid;False
cs+interface://System/Runtime/InteropServices/_Module;False
cs+interface://System/Runtime/InteropServices/_MemberInfo;False
cs+class://System/Reflection/ConstructorInfo;False
cs+interface://System/Runtime/InteropServices/_ConstructorInfo;False
cs+class://System/Reflection/EventInfo;False
cs+class://System/Delegate;False
cs+interface://System/Runtime/InteropServices/_EventInfo;False
cs+class://System/Reflection/InterfaceMapping;False
cs+class://System/Runtime/InteropServices/StructLayoutAttribute;False
cs+class://System/Attribute;False
cs+interface://System/Runtime/InteropServices/_Attribute;False
cs+interface://System/Runtime/InteropServices/_Type;False
cs+interface://System/Reflection/IReflect;False
cs+class://System/CharEnumerator;False
cs+class://System/Windows/Forms/Control/ControlCollection;False
cs+class://System/Windows/Forms/Layout/ArrangedElementCollection;False
cs+class://System/Windows/Forms/Control;False
cs+class://System/ComponentModel/Component;False
cs+class://System/ComponentModel/EventHandlerList;False
cs+interface://System/ComponentModel/ISite;False
cs+interface://System/IServiceProvider;False
cs+interface://System/ComponentModel/IComponent;False
cs+interface://System/ComponentModel/IContainer;False
cs+class://System/ComponentModel/ComponentCollection;False
cs+class://System/Windows/Forms/AccessibleObject;False
cs+class://System/Drawing/Rectangle;False
cs+class://System/Drawing/RectangleF;False
cs+class://System/Drawing/PointF;False
cs+class://System/Drawing/Size;False
cs+class://System/Drawing/SizeF;False
cs+class://System/Drawing/Point;False
cs+class://System/Runtime/InteropServices/StandardOleMarshalObject;False
cs+class://System/Drawing/Graphics;False
cs+class://System/Drawing/Image;False
cs+class://System/Drawing/Imaging/EncoderParameters;False
cs+class://System/Drawing/Imaging/ImageFormat;False
cs+class://System/Drawing/Imaging/ImageCodecInfo;False
cs+class://System/Drawing/Imaging/FrameDimension;False
cs+class://System/Drawing/Imaging/PropertyItem;False
cs+class://System/Drawing/Bitmap;False
cs+class://System/Drawing/Imaging/ColorPalette;False
cs+class://System/Drawing/Color;False
cs+class://System/Drawing/Imaging/BitmapData;False
cs+class://System/Drawing/Drawing2D/Matrix;False
cs+class://System/Drawing/Pen;False
cs+class://System/Drawing/Drawing2D/CustomLineCap;False
cs+class://System/Drawing/Brush;False
cs+class://System/Drawing/Drawing2D/GraphicsPath;False
cs+class://System/Drawing/FontFamily;False
cs+class://System/Drawing/StringFormat;False
cs+class://System/Drawing/Drawing2D/PathData;False
cs+class://System/Drawing/Region;False
cs+class://System/Drawing/Drawing2D/RegionData;False
cs+class://System/Drawing/Font;False
cs+class://System/Drawing/Icon;False
