From;To;Source
cs+class://NHibernate/Impl/QueryImpl;cs+class://NHibernate/Impl/AbstractQueryImpl2;(not implemented)
cs+class://NHibernate/Event/Default/ReattachVisitor;cs+class://NHibernate/Event/Default/ProxyVisitor;(not implemented)
cs+class://NHibernate/Impl/SessionImpl;cs+class://NHibernate/Impl/AbstractSessionImpl;(not implemented)
cs+class://NHibernate/Impl/SqlQueryImpl;cs+class://NHibernate/Impl/AbstractQueryImpl;(not implemented)
cs+class://NHibernate/InstantiationException;cs+class://NHibernate/HibernateException;(not implemented)
cs+class://NHibernate/LazyInitializationException;cs+class://NHibernate/HibernateException;(not implemented)
cs+class://NHibernate/Linq/Clauses/NhHavingClause;cs+class://Remotion/Linq/Clauses/WhereClause;(not implemented)
cs+class://NHibernate/Linq/Clauses/NhJoinClause;cs+class://Remotion/Linq/Clauses/AdditionalFromClause;(not implemented)
cs+class://NHibernate/Linq/Clauses/NhWithClause;cs+class://Remotion/Linq/Clauses/WhereClause;(not implemented)
cs+class://NHibernate/Loader/OuterJoinLoader;cs+class://NHibernate/Loader/BasicLoader;(not implemented)
cs+class://NHibernate/MappingException;cs+class://NHibernate/HibernateException;(not implemented)
cs+class://NHibernate/Mapping/Any;cs+class://NHibernate/Mapping/SimpleValue;(not implemented)
cs+class://NHibernate/Mapping/Array;cs+class://NHibernate/Mapping/List;(not implemented)
cs+class://NHibernate/Mapping/Bag;cs+class://NHibernate/Mapping/Collection;(not implemented)
cs+class://NHibernate/Mapping/ByCode/Conformist/ClassMapping[1];cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/ClassCustomizer[1];(not implemented)
cs+class://NHibernate/Mapping/ByCode/Conformist/ComponentMapping[1];cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/ComponentCustomizer[1];(not implemented)
cs+class://NHibernate/Mapping/ByCode/Conformist/JoinedSubclassMapping[1];cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/JoinedSubclassCustomizer[1];(not implemented)
cs+class://NHibernate/Mapping/ByCode/Conformist/SubclassMapping[1];cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/SubclassCustomizer[1];(not implemented)
cs+class://NHibernate/Mapping/ByCode/Conformist/UnionSubclassMapping[1];cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/UnionSubclassCustomizer[1];(not implemented)
cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/ComponentAsIdCustomizer[1];cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/PropertyContainerCustomizer[1];(not implemented)
cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/ComposedIdCustomizer[1];cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/PropertyContainerCustomizer[1];(not implemented)
cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/DynamicComponentCustomizer[1];cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/PropertyContainerCustomizer[1];(not implemented)
cs+class://NHibernate/Mapping/ByCode/Impl/AbstractPropertyContainerMapper;cs+class://NHibernate/Mapping/ByCode/Impl/AbstractBasePropertyContainerMapper;(not implemented)
cs+class://NHibernate/Mapping/ByCode/Impl/ClassMapper;cs+class://NHibernate/Mapping/ByCode/Impl/AbstractPropertyContainerMapper;(not implemented)
cs+class://NHibernate/Mapping/ByCode/Impl/ComponentMapper;cs+class://NHibernate/Mapping/ByCode/Impl/AbstractPropertyContainerMapper;(not implemented)
