fromType;toType;fromMethod;toMethod;calledFrom
cs+class://CastleTests/Facilities/TypedFactory/Selectors/SelectorByClosedArgumentType;cs+class://Castle/Facilities/TypedFactory/DefaultTypedFactoryComponentSelector;IDictionary GetArguments(MethodInfo, UnknownType);IDictionary GetArguments(MethodInfo, UnknownType);SelectComponent
cs+class://Castle/Windsor/Tests/Facilities/TypedFactory/Selectors/SelectorById;cs+class://Castle/Facilities/TypedFactory/DefaultTypedFactoryComponentSelector;String GetComponentName(MethodInfo, UnknownType);String GetComponentName(MethodInfo, UnknownType);SelectComponent
cs+class://Castle/Windsor/Tests/Facilities/TypedFactory/Selectors/SelectorById;cs+class://Castle/Facilities/TypedFactory/DefaultTypedFactoryComponentSelector;IDictionary GetArguments(MethodInfo, UnknownType);IDictionary GetArguments(MethodInfo, UnknownType);SelectComponent
cs+class://Castle/Windsor/Tests/Facilities/TypedFactory/Selectors/Component1Selector;cs+class://Castle/Facilities/TypedFactory/DefaultTypedFactoryComponentSelector;String GetComponentName(MethodInfo, UnknownType);String GetComponentName(MethodInfo, UnknownType);SelectComponent
cs+class://Castle/MicroKernel/Tests/SpecializedResolvers/CollectionResolverTestCase;cs+class://CastleTests/AbstractContainerTestCase;Void AfterContainerCreated();Void AfterContainerCreated();Init
cs+class://CastleTests/Facilities/Synchronize/SynchronizeFacilityTestCase;cs+class://CastleTests/AbstractContainerTestCase;WindsorContainer BuildContainer();WindsorContainer BuildContainer();Init
cs+class://CastleTests/KernelEvents_DependencyResolving_TestCase;cs+class://CastleTests/AbstractContainerTestCase;Void AfterContainerCreated();Void AfterContainerCreated();Init
cs+class://CastleTests/Facilities/FactorySupport/FactorySupportFluentTestCase;cs+class://CastleTests/AbstractContainerTestCase;Void AfterContainerCreated();Void AfterContainerCreated();Init
cs+class://CastleTests/Facilities/FactorySupport/FactorySupportProgrammaticTestCase;cs+class://CastleTests/AbstractContainerTestCase;Void AfterContainerCreated();Void AfterContainerCreated();Init
cs+class://CastleTests/Facilities/FactorySupport/FactorySupportTestCase;cs+class://CastleTests/AbstractContainerTestCase;Void AfterContainerCreated();Void AfterContainerCreated();Init
cs+class://CastleTests/GenericMultipleServicesComponentResolutionTestCase;cs+class://CastleTests/AbstractContainerTestCase;Void AfterContainerCreated();Void AfterContainerCreated();Init
cs+class://CastleTests/Components/MyCustomerActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;Object InternalCreate(CreationContext);Object InternalCreate(CreationContext);Create
cs+class://CastleTests/Components/MyCustomerActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;Void InternalDestroy(Object);Void InternalDestroy(Object);Destroy
cs+class://Castle/MicroKernel/Tests/SpecializedResolvers/ListResolverTestCase;cs+class://CastleTests/AbstractContainerTestCase;WindsorContainer BuildContainer();WindsorContainer BuildContainer();Init
cs+class://CastleTests/ChildContainerSupportTestCase;cs+class://CastleTests/AbstractContainerTestCase;Void AfterContainerCreated();Void AfterContainerCreated();Init
cs+class://CastleTests/Facilities/EventWiring/InvalidConfigTestCase;cs+class://CastleTests/AbstractContainerTestCase;Void AfterContainerCreated();Void AfterContainerCreated();Init
cs+class://CastleTests/Facilities/EventWiring/SingletonComponentsTestCase;cs+class://CastleTests/AbstractContainerTestCase;Void AfterContainerCreated();Void AfterContainerCreated();Init
cs+class://CastleTests/Facilities/EventWiring/SingletonStartableTestCase;cs+class://CastleTests/AbstractContainerTestCase;Void AfterContainerCreated();Void AfterContainerCreated();Init
cs+class://CastleTests/Facilities/EventWiring/SubscriberWithDependenciesTestCase;cs+class://CastleTests/AbstractContainerTestCase;Void AfterContainerCreated();Void AfterContainerCreated();Init
cs+class://CastleTests/Facilities/TypedFactory/ExternalConfigurationTestCase;cs+class://CastleTests/AbstractContainerTestCase;Void AfterContainerCreated();Void AfterContainerCreated();Init
cs+class://CastleTests/Facilities/TypedFactory/TypedFactoryObsoleteApiTestCase;cs+class://CastleTests/AbstractContainerTestCase;Void AfterContainerCreated();Void AfterContainerCreated();Init
cs+class://CastleTests/Facilities/TypedFactory/TypedFactoryFacilityTake2TestCase;cs+class://CastleTests/AbstractContainerTestCase;Void AfterContainerCreated();Void AfterContainerCreated();Init
cs+class://Castle/Windsor/Tests/Facilities/SlowlyInitFacility;cs+class://Castle/MicroKernel/Facilities/AbstractFacility;Void Init();Void Init();Init
cs+class://Castle/Facilities/Logging/LoggingFacility;cs+class://Castle/MicroKernel/Facilities/AbstractFacility;Void Init();Void Init();Init
cs+class://Castle/Facilities/Synchronize/SynchronizeComponentInspector;cs+class://Castle/MicroKernel/ModelBuilder/Inspectors/MethodMetaInspector;String ObtainNodeName();String ObtainNodeName();ProcessModel
cs+class://Castle/Facilities/Synchronize/SynchronizeComponentInspector;cs+class://Castle/MicroKernel/ModelBuilder/Inspectors/MethodMetaInspector;Void ProcessMeta(ComponentModel, IList, MethodMetaModel);Void ProcessMeta(ComponentModel, IList, MethodMetaModel);ProcessModel
cs+class://Castle/Facilities/Synchronize/SynchronizeFacility;cs+class://Castle/MicroKernel/Facilities/AbstractFacility;Void Init();Void Init();Init
cs+class://Castle/Facilities/EventWiring/EventWiringFacility;cs+class://Castle/MicroKernel/Facilities/AbstractFacility;Void Init();Void Init();Init
cs+class://Castle/Facilities/FactorySupport/AccessorActivator;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;Object Instantiate(CreationContext);Object Instantiate(CreationContext);InternalCreate
cs+class://Castle/Facilities/FactorySupport/FactoryActivator;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;Object Instantiate(CreationContext);Object Instantiate(CreationContext);InternalCreate
cs+class://Castle/Facilities/FactorySupport/FactorySupportFacility;cs+class://Castle/MicroKernel/Facilities/AbstractFacility;Void Init();Void Init();Init
cs+class://Castle/Facilities/WcfIntegration/WcfServiceQuotasBehavior;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostAware;Void Opening(ServiceHost);Void Opening(ServiceHost);Opening
cs+class://Castle/Facilities/WcfIntegration/Behaviors/CertificateCredentials;cs+class://Castle/Facilities/WcfIntegration/Behaviors/AbstractCredentials;Void ConfigureCredentials(ClientCredentials);Void ConfigureCredentials(ClientCredentials);Created
cs+class://Castle/Facilities/WcfIntegration/Behaviors/CustomPrincipalAuthorization;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostAware;Void Opening(ServiceHost);Void Opening(ServiceHost);Opening
cs+class://Castle/Facilities/WcfIntegration/Behaviors/UserNameCredentials;cs+class://Castle/Facilities/WcfIntegration/Behaviors/AbstractCredentials;Void ConfigureCredentials(ClientCredentials);Void ConfigureCredentials(ClientCredentials);Created
cs+class://Castle/Facilities/WcfIntegration/Data/DataServiceHostBuilder;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostBuilder[1];ServiceHost CreateServiceHost(ComponentModel, UnknownType);ServiceHost CreateServiceHost(ComponentModel, UnknownType);Build
cs+class://Castle/Facilities/WcfIntegration/Data/DataServiceHostBuilder;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostBuilder[1];ServiceHost CreateServiceHost(Type, UnknownType);ServiceHost CreateServiceHost(Type, UnknownType);Build
