Field guide:
#;alphabetical numbering per study
Domain;Categorization of the system
PVar;Proportion of 'var' keyword usage
Type;Replication study or data from original study
Language;C# or Java
Name;System name
Remaining fields;See https://www.cs.auckland.ac.nz/~ewan/qualitas/studies/inheritance/docs.html#Metrics
#;Domain;Pvar;Type;Language;Name;nExplicitCC;nCCUsed;pCCUsed;nCCDC;pCCDC;nCCSubtype;pCCSubtype;nCCExreuseNoSubtype;pCCExreuseNoSubtype;nCCUsedOnlyInRe;pCCUsedOnlyInRe;nCCUnexplSuper;pCCUnexplSuper;nCCUnexplCategory;pCCUnexplCategory;nCCUnknown;pCCUnknown;nExplicitCI;nOnlyCISubtype;pOnlyCISubtype;nExplainedCI;pExplainedCI;nCategoryExplCI;pCategoryExplCI;nUnexplainedCI;pUnexplainedCI;nExplicitII;nIISubtype;pIISubtype;nOnlyIIReuse;pOnlyIIReuse;nExplainedII;pExplainedII;nCategoryExplII;pCategoryExplII;nUnexplainedII;pUnexplainedII
72;tool/other;0;Replication Study;C#;SharpOS-VS08;160;150;0,9375;2;0,0125;145;0,966666;1;0,006666;4;0,026666;7;0,04375;1;0,00625;1;0,00625;38;28;0,736842;0;0;2;0,052631;8;0,210526;2;0;0;0;0;0;0;2;1;0;0
73;database;0,894823336;Replication Study;C#;SolrNet;103;75;0,728155;2;0,019417;55;0,733333;6;0,08;14;0,186666;7;0,067961;1;0,009708;14;0,135922;152;72;0,473684;7;0,046052;42;0,276315;31;0,203947;10;2;0,2;0;0;1;0,1;6;0,6;1;0,1
74;middleware;0,018191371;Replication Study;C#;Spring.Net;847;724;0,854781;267;0,31523;508;0,701657;44;0,060773;172;0,237569;33;0,038961;13;0,015348;37;0,043683;1034;429;0,414893;137;0,132495;157;0,151837;311;0,300773;96;55;0,572916;9;0,09375;7;0,072916;7;0,072916;18;0,1875
75;testing;0,930628272;Replication Study;C#;StructureMap;184;129;0,701086;26;0,141304;118;0,914728;8;0,062015;3;0,023255;8;0,043478;10;0,054347;27;0,146739;422;99;0,234597;232;0,549763;32;0,075829;59;0,13981;15;3;0,2;3;0,2;3;0,2;3;0,2;3;0,2
76;Persistence Object Mapper;0,410170905;Replication Study;C#;SubSonic.Linq.2010;132;122;0,924242;52;0,393939;45;0,368852;0;0;77;0,631147;8;0,060606;0;0;1;0,007575;77;38;0,493506;0;0;6;0,077922;33;0,428571;4;1;0,25;2;0,5;0;0;1;0,25;0;0
77;tool/other;0,305872042;Replication Study;C#;tasque;29;17;0,586206;12;0,413793;9;0,529411;4;0,235294;4;0,235294;6;0,206896;0;0;2;0,068965;46;17;0,369565;3;0,065217;10;0,217391;16;0,347826;19;8;0,421052;2;0,105263;2;0,105263;4;0,210526;3;0,157894
78;programming language;0,03652968;Replication Study;C#;Textile;36;35;0,972222;4;0,111111;34;0,971428;1;0,028571;0;0;0;0;1;0,027777;0;0;4;3;0,75;0;0;1;0,25;0;0;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
79;middleware;0,972133624;Replication Study;C#;TweetSharp;19;18;0,947368;0;0;12;0,666666;1;0,055555;5;0,277777;0;0;0;0;0;0;32;8;0,25;10;0,3125;8;0,25;6;0,1875;2;0;0;0;0;0;0;2;1;0;0
80;testing;0,870537839;Replication Study;C#;WatiN;246;203;0,825203;64;0,260162;95;0,46798;30;0,147783;78;0,384236;18;0,07317;3;0,012195;13;0,052845;42;32;0,761904;0;0;5;0,119047;5;0,119047;3;2;0,666666;0;0;0;0;0;0;1;0,333333
81;diagram generator/data visualization;0;Replication Study;C#;WorldWind;344;326;0,947674;64;0,186046;255;0,782208;6;0,018404;65;0,199386;5;0,014534;1;0,002906;0;0;78;55;0,705128;1;0,01282;7;0,089743;15;0,192307;3;3;1;0;0;0;0;0;0;0;0
82;testing;0,732963875;Replication Study;C#;xunit;304;202;0,664473;23;0,075657;109;0,539603;21;0,10396;72;0,356435;36;0,118421;0;0;51;0,167763;194;53;0,273195;32;0,164948;35;0,180412;74;0,381443;93;28;0,301075;39;0,419354;3;0,032258;1;0,010752;22;0,236559
83;middleware;0,565409861;Replication Study;C#;yetanotherforum.net;367;346;0,942779;53;0,144414;193;0,557803;6;0,017341;147;0,424855;8;0,021798;3;0,008174;0;0;356;80;0,224719;71;0,199438;28;0,078651;177;0,497191;85;5;0,058823;3;0,035294;18;0,211764;0;0;59;0,694117
1;parsers/generators/make;0;Replication Study;Java;ant-1.8.2;937;890;0,949839;241;0,257203;560;0,629213;72;0,080898;258;0,289887;7;0,00747;1;0,001067;6;0,006403;332;176;0,53012;78;0,234939;36;0,108433;42;0,126506;21;13;0,619047;1;0,047619;3;0,142857;0;0;4;0,190476
2;parsers/generators/make;0;Replication Study;Java;antlr-3.4;181;169;0,933701;48;0,265193;92;0,544378;22;0,130177;55;0,325443;0;0;4;0,022099;6;0,033149;52;39;0,75;0;0;7;0,134615;6;0,115384;3;3;1;0;0;0;0;0;0;0;0
3;3D/graphics/media;0;Replication Study;Java;aoi-2.8.1;221;218;0,986425;74;0,334841;214;0,981651;4;0,018348;0;0;1;0,004524;0;0;0;0;142;123;0,866197;3;0,021126;0;0;16;0,112676;2;2;1;0;0;0;0;0;0;0;0
4;database;0;Replication Study;Java;axion-1.0-M2;132;124;0,939393;48;0,363636;97;0,782258;5;0,040322;22;0,177419;0;0;2;0,015151;5;0,037878;108;73;0,675925;4;0,037037;5;0,046296;26;0,24074;13;10;0,76923;2;0,153846;0;0;1;0,076923;0;0
5;database;0;Replication Study;Java;c_jdbc-2.0.2;463;425;0,917926;131;0,282937;264;0,621176;19;0,044705;142;0,334117;2;0,004319;0;0;4;0,008639;36;9;0,25;3;0,083333;0;0;24;0,666666;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
6;Persistence Object Mapper;0;Replication Study;Java;castor-1.3.3;1213;975;0,803792;464;0,382522;839;0,860512;31;0,031794;105;0,107692;95;0,078318;2;0,001648;25;0,02061;272;154;0,566176;19;0,069852;23;0,084558;76;0,279411;24;18;0,75;3;0,125;0;0;2;0,083333;1;0,041666
7;database;0;Replication Study;Java;cayenne-3.0.1;1926;1737;0,901869;662;0,343717;1337;0,769717;62;0,035693;338;0,194588;4;0,002076;63;0,03271;34;0,017653;561;431;0,76827;19;0,033868;46;0,081996;65;0,115864;12;9;0,75;1;0,083333;0;0;0;0;2;0,166666
8;IDE;0;Replication Study;Java;checkstyle-5.6;349;333;0,954154;136;0,389684;46;0,138138;1;0,003003;286;0,858858;3;0,008595;0;0;0;0;29;20;0,689655;1;0,034482;4;0,137931;4;0,137931;2;0;0;0;0;0;0;0;0;2;1
9;testing;0;Replication Study;Java;cobertura-1.9.4.1;17;17;1;0;0;12;0,705882;0;0;5;0,294117;0;0;0;0;0;0;34;9;0,264705;24;0,705882;0;0;1;0,029411;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
10;middleware;0;Replication Study;Java;collections-3.2.1;366;293;0,800546;155;0,423497;179;0,610921;11;0,037542;103;0,351535;6;0,016393;0;0;0;0;237;174;0,734177;29;0,122362;21;0,088607;13;0,054852;11;9;0,818181;0;0;1;0,090909;1;0,090909;0;0
11;SDK;0;Replication Study;Java;colt-1.2.0;196;167;0,85204;75;0,382653;144;0,862275;13;0,077844;10;0,05988;0;0;0;0;0;0;285;271;0,950877;1;0,003508;6;0,021052;7;0,024561;3;0;0;3;1;0;0;0;0;0;0
12;tool/other;0;Replication Study;Java;columba-1.0;143;132;0,923076;47;0,328671;68;0,515151;1;0,007575;63;0,477272;0;0;0;0;0;0;96;71;0,739583;3;0,03125;8;0,083333;14;0,145833;8;8;1;0;0;0;0;0;0;0;0
13;middleware;0;Replication Study;Java;compiere-330;1650;1583;0,959393;933;0,565454;1096;0,692356;242;0,152874;245;0,154769;8;0,004848;0;0;12;0,007272;387;80;0,206718;98;0,253229;30;0,077519;179;0,462532;2;2;1;0;0;0;0;0;0;0;0
14;database;0;Replication Study;Java;derby-10.9.1.0;1556;1397;0,897814;471;0,302699;763;0,54617;26;0,018611;608;0,435218;24;0,015424;8;0,005141;7;0,004498;685;492;0,718248;64;0,09343;40;0,058394;89;0,129927;131;97;0,740458;13;0,099236;6;0,045801;4;0,030534;11;0,083969
15;diagram generator/data visualization;0;Replication Study;Java;displaytag-1.2;178;155;0,870786;151;0,848314;11;0,070967;5;0,032258;139;0,896774;0;0;0;0;1;0,005617;39;26;0,666666;0;0;6;0,153846;7;0,179487;2;2;1;0;0;0;0;0;0;0;0
16;testing;0;Replication Study;Java;emma-2.0.5312;76;73;0,960526;21;0,276315;67;0,917808;5;0,068493;1;0,013698;2;0,026315;0;0;0;0;79;39;0,49367;19;0,240506;5;0,063291;16;0,202531;16;7;0,4375;9;0,5625;0;0;0;0;0;0
17;diagram generator/data visualization;0;Replication Study;Java;exoportal-v1.0.2;1050;751;0,715238;395;0,37619;422;0,561917;40;0,053262;289;0,38482;2;0,001904;4;0,003809;21;0,02;296;156;0,527027;12;0,04054;20;0,067567;108;0,364864;41;18;0,439024;11;0,268292;5;0,121951;3;0,07317;4;0,09756
18;testing;0;Replication Study;Java;findbugs;458;415;0,906113;102;0,222707;318;0,766265;70;0,168674;27;0,06506;11;0,024017;6;0,0131;0;0;418;239;0,57177;126;0,301435;33;0,078947;20;0,047846;28;14;0,5;5;0,178571;3;0,107142;1;0,035714;5;0,178571
19;testing;0;Replication Study;Java;fitjava-1.1;66;61;0,924242;20;0,30303;48;0,786885;2;0,032786;11;0,180327;0;0;2;0,030303;1;0,015151;0;0;NULL;0;NULL;0;NULL;0;NULL;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
20;testing;0;Replication Study;Java;fitlibraryforfitnesse-20110301;508;384;0,755905;105;0,206692;346;0,901041;5;0,01302;33;0,085937;4;0,007874;17;0,033464;19;0,037401;265;138;0,520754;72;0,271698;48;0,181132;7;0,026415;24;19;0,791666;1;0,041666;0;0;0;0;4;0,166666
21;games;0;Replication Study;Java;freecol-0.10.3;555;544;0,98018;194;0,349549;462;0,849264;20;0,036764;62;0,11397;0;0;0;0;0;0;130;100;0,76923;4;0,030769;13;0,1;13;0,1;1;1;1;0;0;0;0;0;0;0;0
22;tool/other;0;Replication Study;Java;FreeCS;61;61;1;0;0;61;1;0;0;0;0;0;0;0;0;0;0;25;15;0,6;5;0,2;1;0,04;4;0,16;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
23;3D/graphics/media;0;Replication Study;Java;galleon-2.3.0;232;211;0,909482;3;0,012931;199;0,943127;1;0,004739;11;0,052132;0;0;0;0;0;0;78;60;0,76923;14;0,179487;4;0,051282;0;0;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
24;diagram generator/data visualization;0;Replication Study;Java;ganttproject-2.1.1;293;270;0,921501;115;0,392491;213;0,788888;14;0,051851;43;0,159259;4;0,013651;2;0,006825;3;0,010238;256;213;0,832031;10;0,039062;17;0,066406;16;0,0625;17;13;0,764705;3;0,17647;1;0,058823;0;0;0;0
25;SDK;0;Replication Study;Java;geotools-9.2;2464;1998;0,810876;432;0,175324;1405;0,703203;85;0,042542;508;0,254254;45;0,018262;53;0,021509;19;0,007711;1210;963;0,795867;125;0,103305;36;0,029752;86;0,071074;529;149;0,281663;1;0,00189;109;0,206049;122;0,230623;148;0,279773
26;database;0;Replication Study;Java;hadoop-1.1.2;1293;1032;0,798143;332;0,256767;672;0,651162;100;0,096899;260;0,251937;18;0,013921;37;0,028615;114;0,088167;935;502;0,536898;55;0,058823;231;0,247058;147;0,157219;54;29;0,537037;7;0,129629;2;0,037037;10;0,185185;6;0,111111
27;database;0;Replication Study;Java;hsqldb-2.0.0;205;202;0,985365;93;0,453658;145;0,717821;27;0,133663;30;0,148514;0;0;0;0;1;0,004878;98;87;0,887755;1;0,010204;9;0,091836;1;0,010204;9;6;0,666666;1;0,111111;0;0;0;0;2;0,222222
28;testing;0;Replication Study;Java;htmlunit-2.8;705;692;0,98156;72;0,102127;524;0,757225;2;0,00289;166;0,239884;0;0;1;0,001418;7;0,009929;89;83;0,932584;1;0,011235;5;0,056179;0;0;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
29;middleware;0;Replication Study;Java;informa-0.7.0-alpha2;40;30;0,75;5;0,125;7;0,233333;0;0;23;0,766666;0;0;0;0;0;0;64;48;0,75;5;0,078125;5;0,078125;6;0,09375;46;3;0,065217;31;0,673913;6;0,130434;0;0;6;0,130434
30;diagram generator/data visualization;0;Replication Study;Java;iReport-3.7.5;713;282;0,395511;564;0,791023;158;0,560283;7;0,024822;117;0,414893;8;0,01122;0;0;0;0;110;58;0,527272;4;0,036363;2;0,018181;46;0,418181;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
31;diagram generator/data visualization;0;Replication Study;Java;itext-5.0.3;191;183;0,958115;42;0,219895;154;0,84153;6;0,032786;23;0,125683;0;0;1;0,005235;2;0,010471;99;72;0,727272;1;0,010101;6;0,060606;20;0,20202;4;4;1;0;0;0;0;0;0;0;0
32;middleware;0;Replication Study;Java;ivatagroupware-0.11.3;21;15;0,714285;4;0,190476;6;0,4;0;0;9;0,6;2;0,095238;0;0;0;0;25;3;0,12;7;0,28;1;0,04;14;0,56;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
33;SDK;0;Replication Study;Java;jag-6.1;25;21;0,84;2;0,08;7;0,333333;2;0,095238;12;0,571428;0;0;1;0,04;0;0;20;4;0,2;12;0,6;2;0,1;2;0,1;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
34;tool/other;0;Replication Study;Java;jasml-0.10;22;21;0,954545;0;0;21;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;1;0;0;0;0;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
35;diagram generator/data visualization;0;Replication Study;Java;jasperreports;780;681;0,873076;146;0,187179;458;0,67254;39;0,057268;184;0,27019;2;0,002564;16;0,020512;3;0,003846;606;422;0,696369;20;0,033003;49;0,080858;115;0,189768;273;201;0,736263;8;0,029304;43;0,157509;20;0,07326;1;0,003663
36;parsers/generators/make;0;Replication Study;Java;javacc-5.0;60;56;0,933333;4;0,066666;37;0,660714;3;0,053571;16;0,285714;0;0;0;0;3;0,05;8;8;1;0;0;0;0;0;0;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
37;middleware;0;Replication Study;Java;jboss-5.1.0;157;134;0,853503;44;0,280254;63;0,470149;15;0,11194;56;0,41791;3;0,019108;2;0,012738;4;0,025477;189;26;0,137566;64;0,338624;7;0,037037;92;0,486772;18;4;0,222222;2;0,111111;4;0,222222;1;0,055555;7;0,388888
38;SDK;0;Replication Study;Java;jchempaint-3.0.1;1197;946;0,790309;62;0,051796;342;0,361522;16;0,016913;588;0,621564;82;0,068504;143;0,119465;5;0,004177;598;498;0,832775;63;0,105351;15;0,025083;22;0,036789;55;48;0,872727;1;0,018181;1;0,018181;4;0,072727;1;0,018181
39;tool/other;0;Replication Study;Java;jedit-4.3.2;245;210;0,857142;91;0,371428;191;0,909523;1;0,004761;18;0,085714;1;0,004081;2;0,008163;2;0,008163;177;107;0,604519;22;0,124293;7;0,039548;41;0,231638;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
40;diagram generator/data visualization;0;Replication Study;Java;jext-5.0;350;330;0,942857;50;0,142857;286;0,866666;7;0,021212;37;0,112121;6;0,017142;0;0;8;0,022857;94;58;0,617021;23;0,24468;9;0,095744;4;0,042553;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
41;SDK;0;Replication Study;Java;jFin_DateMath-R1.0.1;20;17;0,85;16;0,8;17;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;1;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
42;tool/other;0;Replication Study;Java;jfreechart-1.0.13;294;288;0,979591;89;0,302721;274;0,951388;4;0,013888;10;0,034722;0;0;0;0;1;0,003401;286;225;0,786713;17;0,05944;32;0,111888;12;0,041958;35;28;0,8;3;0,085714;1;0,028571;3;0,085714;0;0
43;tool/other;0;Replication Study;Java;jgraph-5.13.0.0;120;115;0,958333;60;0,5;111;0,965217;2;0,017391;2;0,017391;4;0,033333;0;0;1;0,008333;76;69;0,907894;1;0,013157;6;0,078947;0;0;3;3;1;0;0;0;0;0;0;0;0
44;tool/other;0;Replication Study;Java;jgraphpad-5.10.0.2;236;220;0,932203;29;0,122881;62;0,281818;0;0;158;0,718181;0;0;3;0,012711;9;0,038135;28;14;0,5;4;0,142857;0;0;10;0,357142;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
45;tool/other;0;Replication Study;Java;jgrapht-0.8.1;103;74;0,718446;13;0,126213;49;0,662162;5;0,067567;20;0,27027;7;0,067961;2;0,019417;1;0,009708;117;92;0,786324;4;0,034188;19;0,162393;2;0,017094;6;6;1;0;0;0;0;0;0;0;0
46;tool/other;0;Replication Study;Java;JGroups;328;313;0,954268;36;0,109756;302;0,964856;3;0,009584;8;0,025559;4;0,012195;6;0,018292;0;0;229;194;0,847161;3;0,0131;16;0,069868;16;0,069868;10;9;0,9;1;0,1;0;0;0;0;0;0
47;3D/graphics/media;0;Replication Study;Java;jhotdraw-7.5.1;348;335;0,962643;182;0,522988;263;0,785074;15;0,044776;57;0,170149;0;0;1;0,002873;0;0;145;118;0,813793;6;0,041379;9;0,062068;12;0,082758;14;13;0,928571;1;0,071428;0;0;0;0;0;0
48;testing;0;Replication Study;Java;jmeter-2.5.1;460;391;0,85;87;0,18913;197;0,503836;17;0,043478;177;0,452685;1;0,002173;1;0,002173;12;0,026086;323;170;0,526315;58;0,179566;31;0,095975;64;0,198142;3;3;1;0;0;0;0;0;0;0;0
49;tool/other;0;Replication Study;Java;jmoney-0.4.4;21;21;1;9;0,428571;19;0,904761;2;0,095238;0;0;0;0;0;0;0;0;16;4;0,25;12;0,75;0;0;0;0;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
50;3D/graphics/media;0;Replication Study;Java;jOggPlayer114s;49;44;0,897959;4;0,081632;35;0,795454;1;0,022727;8;0,181818;0;0;0;0;5;0,10204;25;10;0,4;2;0,08;0;0;13;0,52;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
51;tool/other;0;Replication Study;Java;jpf-1.5.1;39;35;0,897435;6;0,153846;17;0,485714;0;0;18;0,514285;0;0;0;0;1;0,025641;44;26;0,590909;4;0,090909;10;0,227272;4;0,090909;19;12;0,631578;6;0,315789;0;0;0;0;1;0,052631
52;parsers/generators/make;0;Replication Study;Java;jrefactory-2.9.19;816;804;0,985294;228;0,279411;609;0,757462;49;0,060945;146;0,181592;1;0,001225;0;0;0;0;134;108;0,80597;12;0,089552;6;0,044776;8;0,059701;1;1;1;0;0;0;0;0;0;0;0
53;programming language;0;Replication Study;Java;JRuby;1203;1169;0,971737;378;0,314214;1113;0,952095;8;0,006843;48;0,04106;5;0,004156;2;0,001662;7;0,005818;2029;1928;0,950221;36;0,017742;44;0,021685;21;0,010349;29;3;0,103448;22;0,75862;1;0,034482;3;0,103448;0;0
54;middleware;0;Replication Study;Java;JSPWiki-2.8;173;151;0,872832;66;0,381502;74;0,490066;3;0,019867;74;0,490066;1;0,00578;3;0,017341;1;0,00578;94;50;0,531914;10;0,106382;28;0,297872;6;0,063829;6;6;1;0;0;0;0;0;0;0;0
55;tool/other;0;Replication Study;Java;jsXe-04;37;34;0,918918;20;0,54054;32;0,941176;0;0;2;0,058823;0;0;0;0;0;0;15;13;0,866666;2;0,133333;0;0;0;0;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
56;middleware;0;Replication Study;Java;jtopen-7.1;807;640;0,79306;212;0,262701;506;0,790625;24;0,0375;110;0,171875;134;0,166047;0;0;10;0,012391;306;192;0,62745;29;0,094771;17;0,055555;68;0,222222;13;12;0,923076;1;0,076923;0;0;0;0;0;0
57;testing;0;Replication Study;Java;log4j-2.0-beta;154;132;0,857142;51;0,331168;91;0,689393;9;0,068181;32;0,242424;3;0,01948;3;0,01948;1;0,006493;103;75;0,728155;1;0,009708;12;0,116504;15;0,145631;10;10;1;0;0;0;0;0;0;0;0
58;tool/other;0;Replication Study;Java;lucene-4.2.0;3684;3410;0,925624;1198;0,32519;2483;0,728152;101;0,029618;826;0,242228;46;0,012486;60;0,016286;51;0,013843;426;338;0,793427;14;0,032863;17;0,039906;57;0,133802;44;13;0,295454;1;0,022727;24;0,545454;1;0,022727;5;0,113636
59;games;0;Replication Study;Java;marauroa-3.8.1;75;73;0,973333;7;0,093333;57;0,780821;4;0,054794;12;0,164383;0;0;2;0,026666;0;0;31;25;0,806451;0;0;1;0,032258;5;0,16129;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
60;parsers/generators/make;0;Replication Study;Java;maven-3.0.5;95;68;0,715789;30;0,315789;31;0,455882;6;0,088235;31;0,455882;1;0,010526;0;0;4;0,042105;230;132;0,573913;2;0,008695;16;0,069565;80;0,347826;11;5;0,454545;3;0,272727;0;0;1;0,090909;2;0,181818
61;games;0;Replication Study;Java;megamek-0.35.18;1283;1278;0,996102;149;0,116134;1198;0,937402;10;0,007824;70;0,054773;2;0,001558;0;0;0;0;213;181;0,849765;8;0,037558;9;0,042253;15;0,070422;10;6;0,6;4;0,4;0;0;0;0;0;0
62;tool/other;0;Replication Study;Java;mvnforum-1.2.2-ga;107;95;0,88785;48;0,448598;72;0,757894;6;0,063157;17;0,178947;2;0,018691;0;0;4;0,037383;289;154;0,532871;75;0,259515;11;0,038062;49;0,16955;2;1;0,5;1;0,5;0;0;0;0;0;0
63;IDE;0;Replication Study;Java;nakedobjects-4.0.0;1595;1312;0,82257;333;0,208777;942;0,717987;83;0,063262;287;0,21875;83;0,052037;20;0,012539;48;0,030094;841;577;0,686087;55;0,065398;104;0,123662;105;0,124851;349;176;0,504297;68;0,194842;32;0,09169;59;0,169054;14;0,040114
64;parsers/generators/make;0;Replication Study;Java;nekohtml-1.9.14;14;10;0,714285;7;0,5;8;0,8;0;0;2;0,2;0;0;0;0;1;0,071428;9;7;0,777777;0;0;1;0,111111;1;0,111111;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
65;IDE;0;Replication Study;Java;netbeans-7.3;7504;6272;0,83582;2729;0,363672;5023;0,80086;336;0,053571;913;0,145567;218;0,029051;77;0,010261;97;0,012926;4317;2938;0,680565;569;0,131804;189;0,04378;621;0,143849;1204;638;0,5299;60;0,049833;140;0,116279;240;0,199335;126;0,104651
66;middleware;0;Replication Study;Java;openjms-0.7.7-beta-1;232;159;0,685344;82;0,353448;150;0,943396;2;0,012578;7;0,044025;26;0,112068;0;0;0;0;143;102;0,713286;18;0,125874;8;0,055944;15;0,104895;9;6;0,666666;2;0,222222;0;0;1;0,111111;0;0
67;middleware;0;Replication Study;Java;oscache-2.3;27;23;0,851851;15;0,555555;14;0,608695;5;0,217391;4;0,173913;2;0,074074;0;0;0;0;10;9;0,9;1;0,1;0;0;0;0;4;4;1;0;0;0;0;0;0;0;0
68;testing;0;Replication Study;Java;pmd-4.2.x;484;440;0,90909;66;0,136363;258;0,586363;1;0,002272;181;0,411363;9;0,018595;0;0;16;0,033057;131;94;0,717557;8;0,061068;2;0,015267;27;0,206106;3;2;0,666666;0;0;0;0;1;0,333333;0;0
69;tool/other;0;Replication Study;Java;poi-3.6;842;763;0,906175;386;0,458432;693;0,908256;29;0,038007;41;0,053735;2;0,002375;46;0,054631;1;0,001187;327;238;0,727828;27;0,082568;33;0,100917;29;0,088685;30;14;0,466666;1;0,033333;1;0,033333;1;0,033333;13;0,433333
70;tool/other;0;Replication Study;Java;proguard-4.9;310;142;0,458064;203;0,654838;137;0,964788;2;0,014084;3;0,021126;0;0;34;0,109677;0;0;644;555;0,861801;0;0;88;0,136645;1;0,001552;4;4;1;0;0;0;0;0;0;0;0
71;SDK;0;Replication Study;Java;quartz-1.8.3;67;48;0,716417;30;0,447761;28;0,583333;1;0,020833;19;0,395833;2;0,02985;2;0,02985;0;0;139;74;0,532374;20;0,143884;37;0,266187;8;0,057553;5;2;0,4;0;0;1;0,2;1;0,2;1;0,2
72;middleware;0;Replication Study;Java;quickserver-1.4.7;20;13;0,65;3;0,15;10;0,76923;0;0;3;0,230769;0;0;0;0;6;0,3;59;35;0,59322;1;0,016949;8;0,135593;15;0,254237;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
73;testing;0;Replication Study;Java;quilt-0.6-a-5;20;18;0,9;8;0,4;13;0,722222;2;0,111111;3;0,166666;0;0;0;0;0;0;35;10;0,285714;6;0,171428;1;0,028571;18;0,514285;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
74;tool/other;0;Replication Study;Java;rssowl-2.0.5;370;287;0,775675;78;0,21081;231;0,804878;11;0,038327;45;0,156794;0;0;0;0;0;0;230;159;0,691304;9;0,03913;19;0,082608;43;0,186956;72;42;0,583333;4;0,055555;2;0,027777;3;0,041666;21;0,291666
75;parsers/generators/make;0;Replication Study;Java;sablecc-3.2;174;174;1;24;0,137931;174;1;0;0;0;0;0;0;0;0;0;0;33;32;0,969696;0;0;1;0,030303;0;0;1;1;1;0;0;0;0;0;0;0;0
76;middleware;0;Replication Study;Java;springframework-3.0.5;1577;1252;0,793912;570;0,361445;830;0,662939;174;0,138977;248;0,198083;17;0,010779;7;0,004438;101;0,064045;938;546;0,582089;65;0,069296;115;0,122601;212;0,226012;82;46;0,560975;9;0,109756;10;0,121951;4;0,04878;13;0,158536
77;middleware;0;Replication Study;Java;struts-2.2.1;1096;920;0,839416;281;0,256386;490;0,532608;84;0,091304;346;0,376086;8;0,007299;18;0,016423;37;0,033759;454;200;0,440528;88;0,193832;61;0,134361;105;0,231277;22;9;0,40909;2;0,090909;1;0,045454;5;0,227272;5;0,227272
78;3D/graphics/media;0;Replication Study;Java;sunflow-0.07.2;16;13;0,8125;10;0,625;12;0,923076;1;0,076923;0;0;0;0;0;0;0;0;110;108;0,981818;0;0;2;0,018181;0;0;8;6;0,75;2;0,25;0;0;0;0;0;0
79;middleware;0;Replication Study;Java;tapestry-5.1.0.5;398;351;0,881909;41;0,103015;133;0,378917;8;0,022792;210;0,59829;9;0,022613;1;0,002512;24;0,060301;868;668;0,769585;3;0,003456;121;0,1394;76;0,087557;65;38;0,584615;13;0,2;0;0;4;0,061538;10;0,153846
80;middleware;0;Replication Study;Java;tomcat-7.0.2;679;615;0,905743;185;0,272459;487;0,791869;11;0,017886;117;0,190243;2;0,002945;3;0,004418;10;0,014727;362;271;0,748618;33;0,09116;26;0,071823;32;0,088397;43;27;0,627906;4;0,093023;1;0,023255;4;0,093023;7;0,16279
81;diagram generator/data visualization;0;Replication Study;Java;velocity-1.6.4;203;181;0,891625;26;0,128078;98;0,541436;2;0,011049;81;0,447513;0;0;0;0;5;0,02463;110;47;0,427272;27;0,245454;24;0,218181;12;0,10909;13;10;0,76923;1;0,076923;0;0;0;0;2;0,153846
82;tool/other;0;Replication Study;Java;wct-1.5.2;137;114;0,832116;24;0,175182;50;0,438596;2;0,017543;62;0,543859;0;0;9;0,065693;3;0,021897;97;36;0,371134;2;0,020618;12;0,123711;47;0,484536;14;5;0,357142;7;0,5;0;0;0;0;2;0,142857
83;tool/other;0;Replication Study;Java;webmail-0.7.10;36;24;0,666666;9;0,25;18;0,75;1;0,041666;5;0,208333;2;0,055555;0;0;0;0;51;31;0,607843;0;0;0;0;20;0,392156;2;1;0,5;1;0,5;0;0;0;0;0;0
84;tool/other;0;Replication Study;Java;weka-3-6-9;871;651;0,747416;495;0,568312;490;0,752688;21;0,032258;140;0,215053;1;0,001148;0;0;0;0;1265;401;0,316996;323;0,255335;39;0,03083;502;0,396837;9;3;0,333333;0;0;1;0,111111;1;0,111111;4;0,444444
