Field guide:
#;alphabetical numbering per study
Domain;Categorization of the system
PVar;Proportion of 'var' keyword usage
Type;Replication study or data from original study
Language;C# or Java
Name;System name
Remaining fields;See https://www.cs.auckland.ac.nz/~ewan/qualitas/studies/inheritance/docs.html#Metrics
#;Domain;Pvar;Type;Language;Name;nExplicitCC;nCCUsed;pCCUsed;nCCDC;pCCDC;nCCSubtype;pCCSubtype;nCCExreuseNoSubtype;pCCExreuseNoSubtype;nCCUsedOnlyInRe;pCCUsedOnlyInRe;nCCUnexplSuper;pCCUnexplSuper;nCCUnexplCategory;pCCUnexplCategory;nCCUnknown;pCCUnknown;nExplicitCI;nOnlyCISubtype;pOnlyCISubtype;nExplainedCI;pExplainedCI;nCategoryExplCI;pCategoryExplCI;nUnexplainedCI;pUnexplainedCI;nExplicitII;nIISubtype;pIISubtype;nOnlyIIReuse;pOnlyIIReuse;nExplainedII;pExplainedII;nCategoryExplII;pCategoryExplII;nUnexplainedII;pUnexplainedII
19;database;0,0281948;Replication Study;C#;Db4o-2010;1705;1517;0,889736;777;0,455718;1043;0,687541;11;0,007251;463;0,305207;29;0,017008;6;0,003519;41;0,024046;1870;1158;0,619251;387;0,206951;140;0,074866;185;0,09893;123;65;0,528455;5;0,04065;29;0,235772;9;0,07317;15;0,121951
20;tool/other;0;Replication Study;C#;DotNetKicks;164;126;0,768292;1;0,006097;31;0,246031;2;0,015873;93;0,738095;0;0;0;0;15;0,091463;1;1;1;0;0;0;0;0;0;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
21;tool/other;0,460853933;Replication Study;C#;DotNetNuke;470;419;0,891489;113;0,240425;253;0,603818;55;0,131264;111;0,264916;0;0;4;0,00851;20;0,042553;242;79;0,326446;38;0,157024;5;0,020661;120;0,495867;25;2;0,08;13;0,52;6;0,24;2;0,08;2;0,08
22;middleware;0,433157763;Replication Study;C#;DotNetOpenAuth;268;231;0,86194;32;0,119402;122;0,528138;10;0,04329;99;0,428571;8;0,02985;11;0,041044;13;0,048507;188;89;0,473404;0;0;47;0,25;52;0,276595;44;29;0,65909;1;0,022727;0;0;10;0,227272;4;0,090909
23;middleware;0,159677419;Replication Study;C#;Elmah;28;28;1;12;0,428571;26;0,928571;0;0;2;0,071428;0;0;0;0;0;0;10;5;0,5;0;0;0;0;5;0,5;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
24;Persistence Object Mapper;0,906770203;Replication Study;C#;EntityFramework;3105;2013;0,648309;476;0,153301;1479;0,734724;130;0,06458;404;0,200695;114;0,036714;51;0,016425;466;0,15008;325;192;0,590769;25;0,076923;81;0,24923;27;0,083076;23;21;0,913043;0;0;0;0;2;0,086956;0;0
25;tool/other;0,504317789;Replication Study;C#;FileHelpers;305;174;0,570491;221;0,72459;48;0,275862;68;0,390804;58;0,333333;4;0,013114;11;0,036065;8;0,026229;35;6;0,171428;0;0;0;0;29;0,828571;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
26;IDE;0,007165667;Replication Study;C#;FlashDevelop;167;152;0,910179;35;0,20958;97;0,638157;17;0,111842;38;0,25;2;0,011976;7;0,041916;0;0;124;104;0,838709;0;0;6;0,048387;14;0,112903;7;4;0,571428;0;0;1;0,142857;0;0;2;0,285714
27;3D/graphics/media;0,093857635;Replication Study;C#;F-Spot;153;110;0,718954;56;0,366013;70;0,636363;10;0,090909;30;0,272727;31;0,202614;1;0,006535;4;0,026143;73;37;0,506849;2;0,027397;1;0,013698;33;0,452054;3;1;0,333333;1;0,333333;0;0;1;0,333333;0;0
28;middleware;0,910940725;Replication Study;C#;FubuMVC;342;226;0,660818;80;0,233918;162;0,716814;12;0,053097;52;0,230088;18;0,052631;2;0,005847;45;0,131578;514;164;0,319066;77;0,149805;106;0,206225;167;0,324902;14;6;0,428571;2;0,142857;0;0;3;0,214285;3;0,214285
