fromType;toType;fromMethod;toMethod;calledFrom
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ProjectReportsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Void ConfigureRelatedData(RelatedDataConfiguration);Void ConfigureRelatedData(RelatedDataConfiguration);(field initializer)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ProjectReportsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Task OnRefreshCompleted();Task OnRefreshCompleted();CallRefreshCompleted
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ProjectSettings/ReleaseNoteDescriptionsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Task OnRefreshCompleted();Task OnRefreshCompleted();CallRefreshCompleted
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ProjectSettings/VtSettingsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Void ConfigureRelatedData(RelatedDataConfiguration);Void ConfigureRelatedData(RelatedDataConfiguration);(field initializer)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ProjectSettings/VtSettingsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Boolean CanSave();Boolean CanSave();SaveChangesAsync
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ProjectSettings/VtSettingsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Boolean CanSave();Boolean CanSave();CancelChanges
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ProjectSettings/VtSettingsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Task OnRefreshCompleted();Task OnRefreshCompleted();CallRefreshCompleted
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ProjectSettings/ProjectSettingsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Void ConfigureRelatedData(RelatedDataConfiguration);Void ConfigureRelatedData(RelatedDataConfiguration);(field initializer)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ProjectSettings/ProjectSettingsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Boolean CanSave();Boolean CanSave();SaveChangesAsync
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ProjectSettings/ProjectSettingsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Boolean CanSave();Boolean CanSave();CancelChanges
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ProjectSettings/ProjectSettingsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Task OnRefreshCompleted();Task OnRefreshCompleted();CallRefreshCompleted
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ProjectSettings/ContractDataViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Void ConfigureRelatedData(RelatedDataConfiguration);Void ConfigureRelatedData(RelatedDataConfiguration);(field initializer)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ProjectSettings/ContractDataViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Boolean CanSave();Boolean CanSave();SaveChangesAsync
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ProjectSettings/ContractDataViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Boolean CanSave();Boolean CanSave();CancelChanges
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ProjectSettings/ContractDataViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Task OnRefreshCompleted();Task OnRefreshCompleted();CallRefreshCompleted
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/QualifiedWeldersViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Void ConfigureRelatedData(RelatedDataConfiguration);Void ConfigureRelatedData(RelatedDataConfiguration);(field initializer)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ReleaseNotesViewModel;cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ReleaseNoteVtViewModel[1];Void ConfigureRelatedData(RelatedDataConfiguration);Void ConfigureRelatedData(RelatedDataConfiguration);(field initializer)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ReleaseNotesViewModel;cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ReleaseNoteVtViewModel[1];Task OnRefreshCompleted();Task OnRefreshCompleted();CallRefreshCompleted
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ReleaseNotesViewModel;cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ReleaseNoteVtViewModel[1];Void OnSelectedComponentChanged();Void OnSelectedComponentChanged();(field initializer)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ReportSettings/DeclarationOfConfirmityViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Void ConfigureRelatedData(RelatedDataConfiguration);Void ConfigureRelatedData(RelatedDataConfiguration);(field initializer)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ReportSettings/DeclarationOfConfirmityViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Boolean CanSave();Boolean CanSave();SaveChangesAsync
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ReportSettings/DeclarationOfConfirmityViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Boolean CanSave();Boolean CanSave();CancelChanges
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ReportSettings/DeclarationOfConfirmityViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Task OnRefreshCompleted();Task OnRefreshCompleted();CallRefreshCompleted
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ReportSettings/ProjectCertificateSettingsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Void ConfigureRelatedData(RelatedDataConfiguration);Void ConfigureRelatedData(RelatedDataConfiguration);(field initializer)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ReportSettings/ProjectCertificateSettingsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Boolean CanSave();Boolean CanSave();SaveChangesAsync
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ReportSettings/ProjectCertificateSettingsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Boolean CanSave();Boolean CanSave();CancelChanges
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ReportSettings/ProjectCertificateSettingsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Task OnRefreshCompleted();Task OnRefreshCompleted();CallRefreshCompleted
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestApprovalsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3];Void ConfigureRelatedData(RelatedDataConfiguration);Void ConfigureRelatedData(RelatedDataConfiguration);(field initializer)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestApprovalsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3];Task OnSelectedItemsChanged(Object, NotifyCollectionChangedEventArgs);Task OnSelectedItemsChanged(Object, NotifyCollectionChangedEventArgs);OnSelectedItemsCollectionChanged
