type;from;to;direct;marker;constants;systemType
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/AssemblyIdentityTestBase;cs+class://Roslyn/Test/Utilities/TestBase;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/AssemblyIdentityTests;cs+class://Microsoft/CodeAnalysis/UnitTests/AssemblyIdentityTestBase;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/AssemblyMetadataTests;cs+class://Roslyn/Test/Utilities/TestBase;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/AssemblyPortabilityPolicyTests;cs+class://Roslyn/Test/Utilities/TestBase;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/UnitTests/FusionAssemblyPortabilityPolicy;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/MetadataReferenceTests;cs+class://Roslyn/Test/Utilities/TestBase;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/MetadataReferenceTests/TestDocumentationProvider;cs+class://Microsoft/CodeAnalysis/DocumentationProvider;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/MetadataReferenceTests/MyReference;cs+class://Microsoft/CodeAnalysis/PortableExecutableReference;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/MetadataReferenceTests/MyReference2;cs+class://Microsoft/CodeAnalysis/PortableExecutableReference;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/ModuleMetadataTests;cs+class://Roslyn/Test/Utilities/TestBase;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/NoPia;cs+class://Roslyn/Test/Utilities/TestBase;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/StrongNameProviderTests/VirtualizedStrongNameProvider;cs+class://Microsoft/CodeAnalysis/DesktopStrongNameProvider;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/EncodedStringTextTests;cs+class://Roslyn/Test/Utilities/TestBase;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/StringTextTest_BigEndianUnicode;cs+class://Microsoft/CodeAnalysis/UnitTests/StringTextTest_Default;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/StreamTextTest_Unicode;cs+class://Microsoft/CodeAnalysis/UnitTests/StringTextTest_Default;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/StringTextTest_UTF8;cs+class://Microsoft/CodeAnalysis/UnitTests/StringTextTest_Default;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/StringTextTest_UTF8NoBOM;cs+class://Microsoft/CodeAnalysis/UnitTests/StringTextTest_Default;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/TextLineCollectionTests;cs+class://Roslyn/Test/Utilities/TestBase;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/TextUtilitiesTests;cs+class://Roslyn/Test/Utilities/TestBase;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/BuildTasks/BuildClient/PipeBrokenException;cs+class://System/IO/IOException;True;False;False;False
CC;cs+class://Microsoft/CodeAnalysis/BuildTasks/Csc;cs+class://Microsoft/Build/Tasks/Csc;True;False;False;False
CC;cs+class://Microsoft/CodeAnalysis/BuildTasks/CscTaskFactory;cs+class://Microsoft/CodeAnalysis/BuildTasks/RoslynTaskFactory[1];True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/BuildTasks/RoslynTaskFactory[1];cs+interface://Microsoft/Build/Framework/ITaskFactory;True;False;False;False
CC;cs+class://Microsoft/CodeAnalysis/BuildTasks/Vbc;cs+class://Microsoft/Build/Tasks/Vbc;True;False;False;False
CC;cs+class://Microsoft/CodeAnalysis/BuildTasks/VbcTaskFactory;cs+class://Microsoft/CodeAnalysis/BuildTasks/RoslynTaskFactory[1];True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/AbstractLookupSymbolsInfo/UniqueSymbolOrArities;cs+interface://Microsoft/CodeAnalysis/AbstractLookupSymbolsInfo/IArityEnumerable;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/CodeGen/ArrayMethods/ArrayConstructor;cs+class://Microsoft/CodeAnalysis/CodeGen/ArrayMethod;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/CodeGen/ArrayMethods/ArrayGet;cs+class://Microsoft/CodeAnalysis/CodeGen/ArrayMethod;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/CodeGen/ArrayMethods/ArrayAddress;cs+class://Microsoft/CodeAnalysis/CodeGen/ArrayMethod;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/CodeGen/ArrayMethods/ArraySet;cs+class://Microsoft/CodeAnalysis/CodeGen/ArrayMethod;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/CodeGen/ArrayMethodParameterInfo;cs+interface://Microsoft/Cci/IParameterTypeInformation;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/CodeGen/ArraySetValueParameterInfo;cs+class://Microsoft/CodeAnalysis/CodeGen/ArrayMethodParameterInfo;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/CodeGen/ArrayMethod;cs+interface://Microsoft/Cci/IMethodReference;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/BasicBlock/PooledBasicBlock;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/BasicBlock;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/BasicBlockWithHandlerScope;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/BasicBlock;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/ExceptionHandlerLeaderBlock;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/BasicBlockWithHandlerScope;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/SwitchBlock;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/BasicBlockWithHandlerScope;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/CodeGen/FullLocalSlotManager;cs+class://Microsoft/CodeAnalysis/CodeGen/LocalSlotManager;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/CodeGen/LocalConstantDefinition;cs+interface://Microsoft/Cci/ILocalDefinition;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/CodeGen/LocalDefinition;cs+interface://Microsoft/Cci/ILocalDefinition;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/LocalScopeInfo;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/ScopeInfo;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/ExceptionHandlerScope;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/LocalScopeInfo;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/ExceptionHandlerContainerScope;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/ScopeInfo;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/CodeGen/MetadataConstant;cs+interface://Microsoft/Cci/IMetadataConstant;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/CodeGen/MetadataCreateArray;cs+interface://Microsoft/Cci/IMetadataCreateArray;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/CodeGen/MetadataNamedArgument;cs+interface://Microsoft/Cci/IMetadataNamedArgument;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/CodeGen/MetadataTypeOf;cs+interface://Microsoft/Cci/IMetadataTypeOf;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/CodeGen/MethodBody;cs+interface://Microsoft/Cci/IMethodBody;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/CodeGen/PermissionSetAttributeWithFileReference;cs+interface://Microsoft/Cci/ICustomAttribute;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/CodeGen/PermissionSetAttributeWithFileReference/HexPropertyMetadataNamedArgument;cs+interface://Microsoft/Cci/IMetadataNamedArgument;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/CodeGen/PrivateImplementationDetails;cs+class://Microsoft/CodeAnalysis/CodeGen/DefaultTypeDef;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/CodeGen/PrivateImplementationDetails;cs+interface://Microsoft/Cci/INamespaceTypeDefinition;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/CodeGen/ExplicitSizeStruct;cs+class://Microsoft/CodeAnalysis/CodeGen/DefaultTypeDef;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/CodeGen/ExplicitSizeStruct;cs+interface://Microsoft/Cci/INestedTypeDefinition;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/CodeGen/MappedField;cs+interface://Microsoft/Cci/IFieldDefinition;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/CodeGen/DefaultTypeDef;cs+interface://Microsoft/Cci/ITypeDefinition;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/CodeGen/Win32Resource;cs+interface://Microsoft/Cci/IWin32Resource;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/CachingFactory[2];cs+class://Microsoft/CodeAnalysis/CachingBase[1];True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/CachingIdentityFactory[2];cs+class://Microsoft/CodeAnalysis/CachingBase[1];True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/ConcurrentCache[2];cs+class://Microsoft/CodeAnalysis/CachingBase[1];True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/IdentifierCollection/CaseSensitiveCollection;cs+class://Microsoft/CodeAnalysis/IdentifierCollection/CollectionBase;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/IdentifierCollection/CaseInsensitiveCollection;cs+class://Microsoft/CodeAnalysis/IdentifierCollection/CollectionBase;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/SmallDictionary/NodeLinked;cs+class://Microsoft/CodeAnalysis/SmallDictionary/Node;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/SmallDictionary/AvlNodeHead;cs+class://Microsoft/CodeAnalysis/SmallDictionary/AvlNode[2];True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/SmallDictionary/HashedNode;cs+class://Microsoft/CodeAnalysis/SmallDictionary/Node;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/SmallDictionary/AvlNode[2];cs+class://Microsoft/CodeAnalysis/SmallDictionary/HashedNode;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueBad;cs+class://Microsoft/CodeAnalysis/ConstantValue;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueNull;cs+class://Microsoft/CodeAnalysis/ConstantValue;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueString;cs+class://Microsoft/CodeAnalysis/ConstantValue;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDecimal;cs+class://Microsoft/CodeAnalysis/ConstantValue;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDateTime;cs+class://Microsoft/CodeAnalysis/ConstantValue;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDiscriminated;cs+class://Microsoft/CodeAnalysis/ConstantValue;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDefault;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDiscriminated;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDecimalZero;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDefault;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDoubleZero;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDefault;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueSingleZero;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDefault;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueOne;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDiscriminated;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDecimalOne;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueOne;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueI8;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDiscriminated;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueI16;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDiscriminated;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueI32;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDiscriminated;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueI64;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDiscriminated;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDouble;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDiscriminated;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueSingle;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDiscriminated;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/Diagnostics/AnalyzerDriver3[1];cs+class://Microsoft/CodeAnalysis/Diagnostics/AnalyzerDriver3;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/Diagnostics/AnalyzerImageReference;cs+class://Microsoft/CodeAnalysis/Diagnostics/AnalyzerReference;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/Diagnostics/CompilationCompletedEvent;cs+class://Microsoft/CodeAnalysis/Diagnostics/CompilationEvent;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/Diagnostics/CompilationStartedEvent;cs+class://Microsoft/CodeAnalysis/Diagnostics/CompilationEvent;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/Diagnostics/CompilationUnitCompletedEvent;cs+class://Microsoft/CodeAnalysis/Diagnostics/CompilationEvent;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/Diagnostics/SymbolDeclaredCompilationEvent;cs+class://Microsoft/CodeAnalysis/Diagnostics/CompilationEvent;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/Diagnostics/UnresolvedAnalyzerReference;cs+class://Microsoft/CodeAnalysis/Diagnostics/AnalyzerReference;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/TriggerDiagnosticDescriptor;cs+class://Microsoft/CodeAnalysis/DiagnosticDescriptor;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/DiagnosticInfo/DiagnosticInfoWithOverridenSeverity;cs+class://Microsoft/CodeAnalysis/DiagnosticInfo;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/Diagnostic/SimpleDiagnostic;cs+class://Microsoft/CodeAnalysis/Diagnostic;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/DiagnosticInfo;cs+interface://Roslyn/Utilities/IObjectWritable;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/DiagnosticInfo;cs+interface://Roslyn/Utilities/IObjectReadable;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/DiagnosticInfo;cs+interface://Microsoft/CodeAnalysis/IMessageSerializable;True;True;False;True
CC;cs+class://Microsoft/CodeAnalysis/DiagnosticWithInfo;cs+class://Microsoft/CodeAnalysis/Diagnostic;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/ExternalFileLocation;cs+class://Microsoft/CodeAnalysis/Location;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/MetadataLocation;cs+class://Microsoft/CodeAnalysis/Location;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/NoLocation;cs+class://Microsoft/CodeAnalysis/Location;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/SourceLocation;cs+class://Microsoft/CodeAnalysis/Location;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/XmlLocation;cs+class://Microsoft/CodeAnalysis/Location;True;False;False;True
II;cs+interface://Microsoft/CodeAnalysis/Diagnostics/ICodeBlockAnalyzer;cs+interface://Microsoft/CodeAnalysis/Diagnostics/IDiagnosticAnalyzer;True;False;False;True
II;cs+interface://Microsoft/CodeAnalysis/Diagnostics/ICodeBlockNestedAnalyzerFactory;cs+interface://Microsoft/CodeAnalysis/Diagnostics/IDiagnosticAnalyzer;True;False;False;True
II;cs+interface://Microsoft/CodeAnalysis/Diagnostics/ICompilationAnalyzer;cs+interface://Microsoft/CodeAnalysis/Diagnostics/IDiagnosticAnalyzer;True;False;False;True
II;cs+interface://Microsoft/CodeAnalysis/Diagnostics/ICompilationNestedAnalyzerFactory;cs+interface://Microsoft/CodeAnalysis/Diagnostics/IDiagnosticAnalyzer;True;False;False;True
II;cs+interface://Microsoft/CodeAnalysis/Diagnostics/ISemanticModelAnalyzer;cs+interface://Microsoft/CodeAnalysis/Diagnostics/IDiagnosticAnalyzer;True;False;False;True
II;cs+interface://Microsoft/CodeAnalysis/Diagnostics/ISymbolAnalyzer;cs+interface://Microsoft/CodeAnalysis/Diagnostics/IDiagnosticAnalyzer;True;False;False;True
II;cs+interface://Microsoft/CodeAnalysis/Diagnostics/ISyntaxNodeAnalyzer[1];cs+interface://Microsoft/CodeAnalysis/Diagnostics/IDiagnosticAnalyzer;True;False;False;True
