Direct?;From;To;Type;Member;FromMember
True;cs+interface://Qnh/Sbs/PricingTool/Common/Interfaces/ICostUpSimulationBusiness;cs+interface://Qnh/Sbs/PricingTool/Common/Interfaces/IItemSpecificSimulationBusiness[1];MethodCall;CloneAsync;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostUpSimulationViewModel/Duplicate
True;cs+interface://Qnh/Sbs/PricingTool/Common/Interfaces/ICostUpSimulationBusiness;cs+interface://Qnh/Sbs/PricingTool/Common/Interfaces/IItemSpecificSimulationBusiness[1];MethodCall;SaveExistingAsync;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostUpSimulationViewModel/Save
True;cs+interface://Qnh/Sbs/PricingTool/Common/Interfaces/ICostUpSimulationBusiness;cs+interface://Qnh/Sbs/PricingTool/Common/Interfaces/IItemSpecificSimulationBusiness[1];MethodCall;OpenExistingAsync;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostUpSimulationViewModel/SetSimulation
True;cs+interface://Qnh/Sbs/PricingTool/Common/Interfaces/ICostUpSimulationBusiness;cs+interface://Qnh/Sbs/PricingTool/Common/Interfaces/IItemSpecificSimulationBusiness[1];MethodCall;CreateSimulation;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/NewSimulation/SimulationFactory/CostUpFactory/CreateSimulation
False;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/ManualBaseMargin;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/BaseMargin;MethodCall;Simulation;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostElementViewModel/(field initializer)
False;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/ManualBaseMargin;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/BaseMargin;MethodCall;SimulationId;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostElementViewModel/(field initializer)
False;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/ManualBaseMargin;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/BaseMargin;MethodCall;MarketId;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostElementViewModel/(field initializer)
False;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/Coefficients/CoefficientCollection;cs+class://System/Collections/ObjectModel/ObservableCollection[1];MethodCall;Add;cs+class://Sbs/PricingTool/Tests/Simulation/CostUp/CoefficientsTest/TestShapeCoefficients
False;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/Coefficients/CoefficientCollection;cs+class://System/Collections/ObjectModel/ObservableCollection[1];MethodCall;Add;cs+class://Sbs/PricingTool/Tests/Simulation/CostUp/CoefficientsTest/TestShapeCoefficients
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/Coefficients/SimulationMarketCoefficient;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/Coefficients/Coefficient;MethodCall;SimulationId;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostUpSimulationViewModel/LoadItems
