direct?;source;from;to;from declaration
True;Parameter;cs+class://Raven/Database/Bundles/Replication/Plugins/LocalDocumentReplicationConflictResolver;cs+class://Raven/Bundles/Replication/Plugins/AbstractDocumentReplicationConflictResolver;DocsReplicationConflictResolvers in Raven.Database.Bundles.Replication.Controllers.ReplicationController
False;ThisChangingType;cs+class://Raven/Database/Bundles/PeriodicExports/Controllers/AdminPeriodicExportController;cs+class://Raven/Database/Server/Controllers/AdminBundlesApiController;ExecuteAsync in Raven.Database.Server.Controllers.Admin.BaseAdminController
False;ThisChangingType;cs+class://Raven/Database/Bundles/PeriodicExports/Controllers/AdminPeriodicExportController;cs+class://Raven/Database/Server/Controllers/AdminBundlesApiController;ExecuteAsync in Raven.Database.Server.Controllers.Admin.BaseAdminController
False;ThisChangingType;cs+class://Raven/Database/Bundles/PeriodicExports/Controllers/AdminPeriodicExportController;cs+class://Raven/Database/Server/Controllers/AdminBundlesApiController;ExecuteAsync in Raven.Database.Server.Controllers.RavenDbApiController
False;ThisChangingType;cs+class://Raven/Database/Bundles/PeriodicExports/Controllers/AdminPeriodicExportController;cs+class://Raven/Database/Server/Controllers/AdminBundlesApiController;ExecuteAsync in Raven.Database.Server.Controllers.RavenDbApiController
False;ThisChangingType;cs+class://Raven/Database/Bundles/PeriodicExports/Controllers/AdminPeriodicExportController;cs+class://Raven/Database/Server/Controllers/AdminBundlesApiController;ExecuteActualRequest in Raven.Database.Server.Controllers.RavenDbApiController
False;ThisChangingType;cs+class://Raven/Database/Bundles/PeriodicExports/Controllers/AdminPeriodicExportController;cs+class://Raven/Database/Server/Controllers/AdminBundlesApiController;GetEmptyMessage in Raven.Database.Server.Controllers.RavenDbApiController
False;ThisChangingType;cs+class://Raven/Database/Bundles/PeriodicExports/Controllers/AdminPeriodicExportController;cs+class://Raven/Database/Server/Controllers/AdminBundlesApiController;GetMessageWithObject in Raven.Database.Server.Controllers.RavenDbApiController
False;ThisChangingType;cs+class://Raven/Database/Bundles/PeriodicExports/Controllers/AdminPeriodicExportController;cs+class://Raven/Database/Server/Controllers/AdminBundlesApiController;GetMessageWithString in Raven.Database.Server.Controllers.RavenDbApiController
True;Parameter;cs+class://Raven/Database/Client/Azure/RavenAzureClient/EmptyContent;cs+class://System/Net/Http/HttpContent;PutContainer in Raven.Database.Client.Azure.RavenAzureClient
True;ThisChangingType;cs+class://Raven/Database/Counters/Controllers/AdminCounterStorageController;cs+class://Raven/Database/Server/Controllers/Admin/BaseAdminController;ExecuteAsync in Raven.Database.Server.Controllers.Admin.BaseAdminController
True;ThisChangingType;cs+class://Raven/Database/Counters/Controllers/AdminCounterStorageController;cs+class://Raven/Database/Server/Controllers/Admin/BaseAdminController;ExecuteAsync in Raven.Database.Server.Controllers.Admin.BaseAdminController
False;ThisChangingType;cs+class://Raven/Database/Counters/Controllers/AdminCounterStorageController;cs+class://Raven/Database/Server/Controllers/Admin/BaseAdminController;ExecuteAsync in Raven.Database.Server.Controllers.RavenDbApiController
False;ThisChangingType;cs+class://Raven/Database/Counters/Controllers/AdminCounterStorageController;cs+class://Raven/Database/Server/Controllers/Admin/BaseAdminController;ExecuteAsync in Raven.Database.Server.Controllers.RavenDbApiController
False;ThisChangingType;cs+class://Raven/Database/Counters/Controllers/AdminCounterStorageController;cs+class://Raven/Database/Server/Controllers/Admin/BaseAdminController;ExecuteActualRequest in Raven.Database.Server.Controllers.RavenDbApiController
False;ThisChangingType;cs+class://Raven/Database/Counters/Controllers/AdminCounterStorageController;cs+class://Raven/Database/Server/Controllers/Admin/BaseAdminController;GetEmptyMessage in Raven.Database.Server.Controllers.RavenDbApiController
False;ThisChangingType;cs+class://Raven/Database/Counters/Controllers/AdminCounterStorageController;cs+class://Raven/Database/Server/Controllers/Admin/BaseAdminController;GetMessageWithObject in Raven.Database.Server.Controllers.RavenDbApiController
False;ThisChangingType;cs+class://Raven/Database/Counters/Controllers/AdminCounterStorageController;cs+class://Raven/Database/Server/Controllers/Admin/BaseAdminController;GetMessageWithString in Raven.Database.Server.Controllers.RavenDbApiController
True;ThisChangingType;cs+class://Raven/Database/Counters/Controllers/CounterReplicationController;cs+class://Raven/Database/Counters/Controllers/RavenCountersApiController;ExecuteAsync in Raven.Database.Counters.Controllers.RavenCountersApiController
True;ThisChangingType;cs+class://Raven/Database/Counters/Controllers/CounterReplicationController;cs+class://Raven/Database/Counters/Controllers/RavenCountersApiController;ExecuteAsync in Raven.Database.Counters.Controllers.RavenCountersApiController
