From;To;Source
cs+class://ICSharpCode/SharpDevelop/Project/ProjectUpgradeException;cs+class://System/Exception;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Workbench/FileCancelEventArgs;cs+class://ICSharpCode/SharpDevelop/Workbench/FileEventArgs;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Refactoring/SymbolRenameArgs;cs+class://ICSharpCode/SharpDevelop/Refactoring/SymbolSearchArgs;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/Commands/BuildProjectBeforeExecute;cs+class://ICSharpCode/SharpDevelop/Project/Commands/BuildProject;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/Commands/RebuildProject;cs+class://ICSharpCode/SharpDevelop/Project/Commands/BuildProject;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Gui/SharpDevelopSideTabItem;cs+class://ICSharpCode/SharpDevelop/Widgets/SideBar/SideTabItem;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Gui/NewFileDialog/Category;cs+class://System/Windows/Forms/TreeNode;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Gui/NewFileDialog/TemplateItem;cs+class://System/Windows/Forms/ListViewItem;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Gui/FileList/FileListItem;cs+class://System/Windows/Forms/ListViewItem;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Gui/LocalizedPropertyDescriptor;cs+class://System/ComponentModel/PropertyDescriptor;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Gui/CompilerMessageView/MessageViewLinkElementGenerator;cs+class://ICSharpCode/AvalonEdit/Rendering/LinkElementGenerator;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Gui/CompilerMessageView/VisualLineMessageViewLinkText;cs+class://ICSharpCode/AvalonEdit/Rendering/VisualLineLinkText;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/FileProjectItem;cs+class://ICSharpCode/SharpDevelop/Project/ProjectItem;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/ReferenceProjectItem;cs+class://ICSharpCode/SharpDevelop/Project/ProjectItem;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/ReferenceProjectItem/ReplaceDefaultValueDescriptor;cs+class://System/ComponentModel/PropertyDescriptor;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/ReferenceProjectItem/DummyValueDescriptor;cs+class://System/ComponentModel/PropertyDescriptor;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/ProjectReferenceProjectItem;cs+class://ICSharpCode/SharpDevelop/Project/ReferenceProjectItem;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/MissingProject;cs+class://ICSharpCode/SharpDevelop/Project/AbstractProject;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/ComReferenceProjectItem;cs+class://ICSharpCode/SharpDevelop/Project/ReferenceProjectItem;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/ProjectItemEventArgs;cs+class://ICSharpCode/SharpDevelop/Project/ProjectEventArgs;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/UnknownProjectItem;cs+class://ICSharpCode/SharpDevelop/Project/ProjectItem;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Workbench/FileRenamingEventArgs;cs+class://ICSharpCode/SharpDevelop/Workbench/FileRenameEventArgs;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/WebReferenceUrl;cs+class://ICSharpCode/SharpDevelop/Project/ProjectItem;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/ImportProjectItem;cs+class://ICSharpCode/SharpDevelop/Project/ProjectItem;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/WebReferencesProjectItem;cs+class://ICSharpCode/SharpDevelop/Project/FileProjectItem;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/WebReferencesFolderNode;cs+class://ICSharpCode/SharpDevelop/Project/DirectoryNode;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/WebReferenceNode;cs+class://ICSharpCode/SharpDevelop/Project/DirectoryNode;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Gui/DiscoveryNetworkCredential;cs+class://System/Net/NetworkCredential;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/MSBuildBasedProject;cs+class://ICSharpCode/SharpDevelop/Project/AbstractProject;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/AbstractProject/ReadOnlyConfigurationOrPlatformNameCollection;cs+class://ICSharpCode/SharpDevelop/Dom/ImmutableModelCollection[1];(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/CompilableProject;cs+class://ICSharpCode/SharpDevelop/Project/MSBuildBasedProject;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Widgets/MyersDiff/MyersDiffAlgorithm/MiddleEdit/ForwardEditPaths;cs+class://ICSharpCode/SharpDevelop/Widgets/MyersDiff/MyersDiffAlgorithm/MiddleEdit/EditPaths;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Widgets/MyersDiff/MyersDiffAlgorithm/MiddleEdit/BackwardEditPaths;cs+class://ICSharpCode/SharpDevelop/Widgets/MyersDiff/MyersDiffAlgorithm/MiddleEdit/EditPaths;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/BuildWorkerManager/BuildWorkerException;cs+class://System/Exception;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/SDConsoleLogger;cs+class://Microsoft/Build/Logging/ConsoleLogger;(not implemented)
cs+class://ICSharpCode/SharpDevelop/PropertyService;cs+class://ICSharpCode/Core/PropertyServiceImpl;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Templates/LocalizedProperty;cs+class://System/ComponentModel/PropertyDescriptor;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Logging/LogMessageRecorder;cs+class://log4net/Appender/AppenderSkeleton;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Sda/RunWorkbenchException;cs+class://System/Exception;(not implemented)
cs+class://Mono/Cecil/Cil/CodeWriter;cs+class://Mono/Cecil/PE/ByteBuffer;(not implemented)
cs+class://Mono/Cecil/Cil/CodeReader;cs+class://Mono/Cecil/PE/ByteBuffer;(not implemented)
cs+class://Mono/Cecil/Cil/VariableDefinitionCollection;cs+class://Mono/Collections/Generic/Collection[1];(not implemented)
cs+class://Mono/Cecil/Cil/InstructionCollection;cs+class://Mono/Collections/Generic/Collection[1];(not implemented)
