fromType;toType;fromMethod;toMethod;calledFrom
cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/ItemChooser/MiddleNode;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/ItemChooser/RootNode;Void SetChecked(Boolean);Void SetChecked(Boolean);(field initializer)
cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/ItemChooser/MiddleNode;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/ItemChooser/RootNode;Void OnCheckedChangedFromChild(Nullable, Nullable);Void OnCheckedChangedFromChild(Nullable, Nullable);ChildIsCheckedChanged
cs+class://Qnh/Sbs/PricingTool/Business/Simulation/CostOverride/MetalOverrider;cs+class://Qnh/Sbs/PricingTool/Business/Simulation/CostOverride/OverriderBase;Boolean ShouldApply(SimulationCostElement, ICostOverrideModel, UnknownType);Boolean ShouldApply(SimulationCostElement, ICostOverrideModel, UnknownType);Apply
cs+class://Qnh/Sbs/PricingTool/Business/Simulation/CostOverride/ThermalBreakOverrider;cs+class://Qnh/Sbs/PricingTool/Business/Simulation/CostOverride/OverriderBase;Boolean ShouldApply(SimulationCostElement, ICostOverrideModel, UnknownType);Boolean ShouldApply(SimulationCostElement, ICostOverrideModel, UnknownType);Apply
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/ColourCoefficientsViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/SimpleConcreteCrudViewModel[1];Void OnChangesSaved();Void OnChangesSaved();SaveCompleted
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/ColourCoefficientsViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/SimpleConcreteCrudViewModel[1];Void OnItemsRefreshed();Void OnItemsRefreshed();LoadItemsCompleted
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/ColourCoefficientsViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/SimpleConcreteCrudViewModel[1];IQueryable FilterModel(IQueryable);IQueryable FilterModel(IQueryable);GetItemsFromDb
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/Detail/ItemSalesHistory;cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/Detail/SalesHistoryViewModelBase;Boolean ApplySelection(SelectionEventArgs);Boolean ApplySelection(SelectionEventArgs);OnSelectionChanged
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/Detail/ItemSalesHistory;cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/Detail/SalesHistoryViewModelBase;IQueryable FilterQuery(IQueryable);IQueryable FilterQuery(IQueryable);LoadData
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/Detail/ProductRangeSalesHistory;cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/Detail/SalesHistoryViewModelBase;Boolean ApplySelection(SelectionEventArgs);Boolean ApplySelection(SelectionEventArgs);OnSelectionChanged
